YIN|BRU,|BRU|IST|URC|YIN|
YIN|OUA,|OUA|NIM|IST|URC|YIN|
YIN|JED,|JED|IST|URC|YIN|
YIN|CPH,|CPH|IST|URC|YIN|
YIN|YYZ,|YYZ|FRA|TSE|URC|YIN|
YIN|DEN,|DEN|YVR|PEK|URC|YIN|
YIN|YUL,|YUL|FRA|TSE|URC|YIN|
YIN|NBO,|NBO|IST|URC|YIN|
YIN|ICN,|ICN|PEK|URC|YIN|
YIN|NRT,|NRT|PEK|URC|YIN|
YIN|YHZ,|YHZ|LHR|IST|URC|YIN|
YIN|YOW,|YOW|FRA|TSE|URC|YIN|
YIN|BJM,|BJM|BRU|IST|URC|YIN|
YIN|COO,|COO|BRU|IST|URC|YIN|
YIN|DKR,|DKR|BRU|IST|URC|YIN|
YIN|DLA,|DLA|IST|URC|YIN|
YIN|KGL,|KGL|IST|URC|YIN|
YIN|LAD,|LAD|BRU|IST|URC|YIN|
YIN|ABJ,|ABJ|OUA|NIM|IST|URC|YIN|
YIN|AMS,|AMS|IST|URC|YIN|
YIN|OSL,|OSL|IST|URC|YIN|
YIN|VNO,|VNO|IST|URC|YIN|
YIN|WAW,|WAW|IST|URC|YIN|
YIN|YYC,|YYC|YVR|PEK|URC|YIN|
YIN|ATL,|ATL|FRA|TSE|URC|YIN|
YIN|MSY,|MSY|IAD|FRA|TSE|URC|YIN|
YIN|YEG,|YEG|YVR|PEK|URC|YIN|
YIN|YMM,|YMM|YVR|PEK|URC|YIN|
YIN|YQR,|YQR|YVR|PEK|URC|YIN|
YIN|YVR,|YVR|PEK|URC|YIN|
YIN|YWG,|YWG|YVR|PEK|URC|YIN|
YIN|YXE,|YXE|YVR|PEK|URC|YIN|
YIN|CKY,|CKY|DKR|BRU|IST|URC|YIN|
YIN|FIH,|FIH|IST|URC|YIN|
YIN|SCL,|SCL|EZE|GRU|IST|URC|YIN|
YIN|LCA,|LCA|FRA|TSE|URC|YIN|
YIN|NAP,|NAP|IST|URC|YIN|
YIN|VLC,|VLC|FRA|TSE|URC|YIN|
YIN|BKK,|BKK|NNG|KWE|URC|YIN|
YIN|ADD,|ADD|IST|URC|YIN|
YIN|FRA,|FRA|TSE|URC|YIN|
YIN|IST,|IST|URC|YIN|
YIN|EBB,|EBB|KGL|IST|URC|YIN|
YIN|YLW,|YLW|YVR|PEK|URC|YIN|
YIN|YYT,|YYT|LHR|IST|URC|YIN|
YIN|GUA,|GUA|MIA|FRA|TSE|URC|YIN|
YIN|EWR,|EWR|FRA|TSE|URC|YIN|
YIN|IAD,|IAD|FRA|TSE|URC|YIN|
YIN|IAH,|IAH|PEK|URC|YIN|
YIN|ORD,|ORD|FRA|TSE|URC|YIN|
YIN|SOF,|SOF|IST|URC|YIN|
YIN|YQB,|YQB|YUL|FRA|TSE|URC|YIN|
YIN|YXU,|YXU|YYZ|FRA|TSE|URC|YIN|
YIN|EZE,|EZE|GRU|IST|URC|YIN|
YIN|YYJ,|YYJ|YVR|PEK|URC|YIN|
YIN|YYY,|YYY|YUL|FRA|TSE|URC|YIN|
YIN|YQQ,|YQQ|YBL|YVR|PEK|URC|YIN|
YIN|YYR,|YYR|YYT|LHR|IST|URC|YIN|
YIN|LHR,|LHR|IST|URC|YIN|
YIN|SFO,|SFO|PEK|URC|YIN|
YIN|YQU,|YQU|YEG|YVR|PEK|URC|YIN|
YIN|YZF,|YZF|YEG|YVR|PEK|URC|YIN|
YIN|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|YIN|
YIN|YGP,|YGP|YQB|YUL|FRA|TSE|URC|YIN|
YIN|BOS,|BOS|FRA|TSE|URC|YIN|
YIN|YDF,|YDF|YYT|LHR|IST|URC|YIN|
YIN|YFC,|YFC|YHZ|LHR|IST|URC|YIN|
YIN|YQM,|YQM|YHZ|LHR|IST|URC|YIN|
YIN|YQX,|YQX|YYT|LHR|IST|URC|YIN|
YIN|YQY,|YQY|YHZ|LHR|IST|URC|YIN|
YIN|YSJ,|YSJ|YHZ|LHR|IST|URC|YIN|
YIN|YYG,|YYG|YHZ|LHR|IST|URC|YIN|
YIN|LAX,|LAX|PEK|URC|YIN|
YIN|DCA,|DCA|EWR|FRA|TSE|URC|YIN|
YIN|LGA,|LGA|YUL|FRA|TSE|URC|YIN|
YIN|YZV,|YZV|YUL|FRA|TSE|URC|YIN|
YIN|YWL,|YWL|YVR|PEK|URC|YIN|
YIN|AZS,|AZS|YUL|FRA|TSE|URC|YIN|
YIN|BDL,|BDL|YUL|FRA|TSE|URC|YIN|
YIN|CCC,|CCC|YUL|FRA|TSE|URC|YIN|
YIN|CDG,|CDG|IST|URC|YIN|
YIN|CUN,|CUN|EWR|FRA|TSE|URC|YIN|
YIN|CZM,|CZM|YUL|FRA|TSE|URC|YIN|
YIN|FDF,|FDF|YUL|FRA|TSE|URC|YIN|
YIN|FLL,|FLL|MCO|FRA|TSE|URC|YIN|
YIN|GVA,|GVA|IST|URC|YIN|
YIN|HOG,|HOG|YUL|FRA|TSE|URC|YIN|
YIN|LAS,|LAS|SEA|PEK|URC|YIN|
YIN|MBJ,|MBJ|EWR|FRA|TSE|URC|YIN|
YIN|MCO,|MCO|FRA|TSE|URC|YIN|
YIN|MUC,|MUC|IST|URC|YIN|
YIN|PAP,|PAP|YUL|FRA|TSE|URC|YIN|
YIN|PTP,|PTP|YUL|FRA|TSE|URC|YIN|
