YIW|BRU,|BRU|IST|URC|YIW|
YIW|OUA,|OUA|NIM|IST|URC|YIW|
YIW|JED,|JED|IST|URC|YIW|
YIW|CPH,|CPH|AMS|PEK|YIW|
YIW|YYZ,|YYZ|PEK|YIW|
YIW|DEN,|DEN|YVR|PEK|YIW|
YIW|YUL,|YUL|YYZ|PEK|YIW|
YIW|NBO,|NBO|CAN|YIW|
YIW|ICN,|ICN|SHE|YIW|
YIW|NRT,|NRT|SHE|YIW|
YIW|YHZ,|YHZ|YYZ|PEK|YIW|
YIW|YOW,|YOW|YYZ|PEK|YIW|
YIW|BJM,|BJM|BRU|IST|URC|YIW|
YIW|COO,|COO|BRU|IST|URC|YIW|
YIW|DKR,|DKR|BRU|IST|URC|YIW|
YIW|DLA,|DLA|IST|URC|YIW|
YIW|KGL,|KGL|IST|URC|YIW|
YIW|LAD,|LAD|BRU|IST|URC|YIW|
YIW|ABJ,|ABJ|OUA|NIM|IST|URC|YIW|
YIW|AMS,|AMS|PEK|YIW|
YIW|OSL,|OSL|CPH|AMS|PEK|YIW|
YIW|VNO,|VNO|IST|URC|YIW|
YIW|WAW,|WAW|IST|URC|YIW|
YIW|YYC,|YYC|YVR|PEK|YIW|
YIW|ATL,|ATL|ORD|PEK|YIW|
YIW|MSY,|MSY|ORD|PEK|YIW|
YIW|YEG,|YEG|YVR|PEK|YIW|
YIW|YMM,|YMM|YVR|PEK|YIW|
YIW|YQR,|YQR|YVR|PEK|YIW|
YIW|YVR,|YVR|PEK|YIW|
YIW|YWG,|YWG|YVR|PEK|YIW|
YIW|YXE,|YXE|YVR|PEK|YIW|
YIW|CKY,|CKY|DKR|BRU|IST|URC|YIW|
YIW|FIH,|FIH|IST|URC|YIW|
YIW|SCL,|SCL|YYZ|PEK|YIW|
YIW|LCA,|LCA|FRA|TSE|URC|YIW|
YIW|NAP,|NAP|IST|URC|YIW|
YIW|VLC,|VLC|FRA|TSE|URC|YIW|
YIW|BKK,|BKK|CAN|YIW|
YIW|ADD,|ADD|IST|URC|YIW|
YIW|FRA,|FRA|TSE|URC|YIW|
YIW|IST,|IST|URC|YIW|
YIW|EBB,|EBB|KGL|IST|URC|YIW|
YIW|YLW,|YLW|YVR|PEK|YIW|
YIW|YYT,|YYT|YYZ|PEK|YIW|
YIW|GUA,|GUA|IAH|PEK|YIW|
YIW|EWR,|EWR|PEK|YIW|
YIW|IAD,|IAD|PEK|YIW|
YIW|IAH,|IAH|PEK|YIW|
YIW|ORD,|ORD|PEK|YIW|
YIW|SOF,|SOF|IST|URC|YIW|
YIW|YQB,|YQB|YYZ|PEK|YIW|
YIW|YXU,|YXU|YYZ|PEK|YIW|
YIW|EZE,|EZE|GRU|IST|URC|YIW|
