YKA|BRU,|BRU|YUL|YYC|YKA|
YKA|OUA,|OUA|BRU|YUL|YYC|YKA|
YKA|JED,|JED|FRA|YYC|YKA|
YKA|CPH,|CPH|YYZ|YYC|YKA|
YKA|YYZ,|YYZ|YYC|YKA|
YKA|DEN,|DEN|YYC|YKA|
YKA|YUL,|YUL|YYC|YKA|
YKA|NBO,|NBO|IST|FRA|YYC|YKA|
YKA|ICN,|ICN|YVR|YKA|
YKA|NRT,|NRT|YVR|YKA|
YKA|YHZ,|YHZ|YYC|YKA|
YKA|YOW,|YOW|YYC|YKA|
YKA|BJM,|BJM|BRU|YUL|YYC|YKA|
YKA|COO,|COO|BRU|YUL|YYC|YKA|
YKA|DKR,|DKR|IAD|ORD|YYC|YKA|
YKA|DLA,|DLA|BRU|YUL|YYC|YKA|
YKA|KGL,|KGL|IST|FRA|YYC|YKA|
YKA|LAD,|LAD|BRU|YUL|YYC|YKA|
YKA|ABJ,|ABJ|BRU|YUL|YYC|YKA|
YKA|AMS,|AMS|ORD|YYC|YKA|
YKA|OSL,|OSL|EWR|YYC|YKA|
YKA|VNO,|VNO|FRA|YYC|YKA|
YKA|WAW,|WAW|YYZ|YYC|YKA|
YKA|YYC,|YYC|YKA|
YKA|ATL,|ATL|ORD|YYC|YKA|
YKA|MSY,|MSY|DEN|YYC|YKA|
YKA|YEG,|YEG|YYC|YKA|
YKA|YMM,|YMM|YYC|YKA|
YKA|YQR,|YQR|YYC|YKA|
YKA|YVR,|YVR|YKA|
YKA|YWG,|YWG|YYC|YKA|
YKA|YXE,|YXE|YYC|YKA|
YKA|CKY,|CKY|DKR|IAD|ORD|YYC|YKA|
YKA|FIH,|FIH|IST|FRA|YYC|YKA|
YKA|SCL,|SCL|YYZ|YYC|YKA|
YKA|LCA,|LCA|FRA|YYC|YKA|
YKA|NAP,|NAP|FRA|YYC|YKA|
YKA|VLC,|VLC|FRA|YYC|YKA|
YKA|BKK,|BKK|CGO|PEK|YVR|YKA|
YKA|ADD,|ADD|JED|FRA|YYC|YKA|
YKA|FRA,|FRA|YYC|YKA|
YKA|IST,|IST|FRA|YYC|YKA|
YKA|EBB,|EBB|KGL|IST|FRA|YYC|YKA|
YKA|YLW,|YLW|YVR|YKA|
YKA|YYT,|YYT|YUL|YYC|YKA|
YKA|GUA,|GUA|IAH|YYC|YKA|
YKA|EWR,|EWR|YYC|YKA|
YKA|IAD,|IAD|ORD|YYC|YKA|
YKA|IAH,|IAH|YYC|YKA|
YKA|ORD,|ORD|YYC|YKA|
YKA|SOF,|SOF|MUC|YVR|YKA|
YKA|YQB,|YQB|YUL|YYC|YKA|
YKA|YXU,|YXU|YYC|YKA|
YKA|EZE,|EZE|IAH|YYC|YKA|
YKA|YYJ,|YYJ|YVR|YKA|
YKA|YYY,|YYY|YUL|YYC|YKA|
YKA|YQQ,|YQQ|YBL|YVR|YKA|
YKA|YYR,|YYR|YWK|YZV|YUL|YYC|YKA|
YKA|LHR,|LHR|YYC|YKA|
YKA|SFO,|SFO|YVR|YKA|
YKA|YQU,|YQU|YYC|YKA|
YKA|YZF,|YZF|YYC|YKA|
YKA|YGR,|YGR|YGP|YQB|YUL|YYC|YKA|
YKA|YGP,|YGP|YQB|YUL|YYC|YKA|
YKA|BOS,|BOS|YOW|YYC|YKA|
YKA|YDF,|YDF|YHZ|YYC|YKA|
YKA|YFC,|YFC|YUL|YYC|YKA|
YKA|YQM,|YQM|YUL|YYC|YKA|
YKA|YQX,|YQX|YHZ|YYC|YKA|
YKA|YQY,|YQY|YHZ|YYC|YKA|
YKA|YSJ,|YSJ|YUL|YYC|YKA|
YKA|YYG,|YYG|YUL|YYC|YKA|
YKA|LAX,|LAX|YVR|YKA|
YKA|DCA,|DCA|ORD|YYC|YKA|
YKA|LGA,|LGA|YYZ|YYC|YKA|
YKA|YZV,|YZV|YUL|YYC|YKA|
YKA|YWL,|YWL|YVR|YKA|
YKA|AZS,|AZS|YYZ|YYC|YKA|
YKA|BDL,|BDL|YYZ|YYC|YKA|
YKA|CCC,|CCC|YYZ|YYC|YKA|
YKA|CDG,|CDG|YUL|YYC|YKA|
YKA|CUN,|CUN|YYC|YKA|
YKA|CZM,|CZM|IAH|YYC|YKA|
YKA|FDF,|FDF|YUL|YYC|YKA|
YKA|FLL,|FLL|MCO|YYC|YKA|
YKA|GVA,|GVA|YUL|YYC|YKA|
YKA|HOG,|HOG|YYZ|YYC|YKA|
YKA|LAS,|LAS|YVR|YKA|
YKA|MBJ,|MBJ|IAH|YYC|YKA|
YKA|MCO,|MCO|YYC|YKA|
YKA|MUC,|MUC|YVR|YKA|
YKA|PAP,|PAP|YUL|YYC|YKA|
YKA|PTP,|PTP|YUL|YYC|YKA|
YKA|PUJ,|PUJ|ORD|YYC|YKA|
YKA|SNU,|SNU|YYZ|YYC|YKA|
YKA|VRA,|VRA|YYC|YKA|
YKA|YBC,|YBC|YUL|YYC|YKA|
YKA|YBG,|YBG|YUL|YYC|YKA|
YKA|YTZ,|YTZ|YUL|YYC|YKA|
YKA|YUY,|YUY|YUL|YYC|YKA|
YKA|YVO,|YVO|YUL|YYC|YKA|
YKA|ZBF,|ZBF|YUL|YYC|YKA|
YKA|ZRH,|ZRH|YUL|YYC|YKA|
YKA|ZSA,|ZSA|YUL|YYC|YKA|
YKA|AKL,|AKL|YVR|YKA|
YKA|HKG,|HKG|YVR|YKA|
YKA|HND,|HND|YVR|YKA|
YKA|HNL,|HNL|YVR|YKA|
YKA|MEX,|MEX|YVR|YKA|
YKA|OGG,|OGG|YVR|YKA|
YKA|PDX,|PDX|YVR|YKA|
YKA|PEK,|PEK|YVR|YKA|
YKA|PVG,|PVG|YVR|YKA|
YKA|PVR,|PVR|YVR|YKA|
YKA|SEA,|SEA|YVR|YKA|
YKA|SYD,|SYD|YVR|YKA|
YKA|YBL,|YBL|YVR|YKA|
YKA|YCD,|YCD|YVR|YKA|
YKA|YCG,|YCG|YVR|YKA|
YKA|YPR,|YPR|YVR|YKA|
YKA|YQZ,|YQZ|YVR|YKA|
YKA|YXC,|YXC|YYC|YKA|
YKA|YXJ,|YXJ|YVR|YKA|
YKA|YXS,|YXS|YVR|YKA|
YKA|YXT,|YXT|YVR|YKA|
YKA|YXY,|YXY|YVR|YKA|
YKA|YYD,|YYD|YVR|YKA|
YKA|YYF,|YYF|YVR|YKA|
YKA|YZP,|YZP|YVR|YKA|
YKA|YQT,|YQT|YWG|YYC|YKA|
YKA|SJD,|SJD|YVR|YKA|
YKA|YQF,|YQF|YYC|YKA|
YKA|YQL,|YQL|YYC|YKA|
YKA|YXH,|YXH|YYC|YKA|
YKA|YWK,|YWK|YZV|YUL|YYC|YKA|
YKA|ANU,|ANU|YYZ|YYC|YKA|
YKA|AUA,|AUA|ATL|ORD|YYC|YKA|
