YNJ|BRU,|BRU|IST|PEK|YNJ|
YNJ|OUA,|OUA|NIM|IST|PEK|YNJ|
YNJ|JED,|JED|IST|PEK|YNJ|
YNJ|CPH,|CPH|AMS|PEK|YNJ|
YNJ|YYZ,|YYZ|PEK|YNJ|
YNJ|DEN,|DEN|YVR|ICN|YNJ|
YNJ|YUL,|YUL|YYZ|PEK|YNJ|
YNJ|NBO,|NBO|CAN|ICN|YNJ|
YNJ|ICN,|ICN|YNJ|
YNJ|NRT,|NRT|CGQ|YNJ|
YNJ|YHZ,|YHZ|YYZ|PEK|YNJ|
YNJ|YOW,|YOW|YYZ|PEK|YNJ|
YNJ|BJM,|BJM|BRU|IST|PEK|YNJ|
YNJ|COO,|COO|BRU|IST|PEK|YNJ|
YNJ|DKR,|DKR|BRU|IST|PEK|YNJ|
YNJ|DLA,|DLA|IST|PEK|YNJ|
YNJ|KGL,|KGL|IST|PEK|YNJ|
YNJ|LAD,|LAD|BRU|IST|PEK|YNJ|
YNJ|ABJ,|ABJ|OUA|NIM|IST|PEK|YNJ|
YNJ|AMS,|AMS|PEK|YNJ|
YNJ|OSL,|OSL|CPH|AMS|PEK|YNJ|
YNJ|VNO,|VNO|IST|PEK|YNJ|
YNJ|WAW,|WAW|IST|PEK|YNJ|
YNJ|YYC,|YYC|YVR|ICN|YNJ|
YNJ|ATL,|ATL|DEN|YVR|ICN|YNJ|
YNJ|MSY,|MSY|DEN|YVR|ICN|YNJ|
YNJ|YEG,|YEG|YVR|ICN|YNJ|
YNJ|YMM,|YMM|YVR|ICN|YNJ|
YNJ|YQR,|YQR|YVR|ICN|YNJ|
YNJ|YVR,|YVR|ICN|YNJ|
YNJ|YWG,|YWG|YVR|ICN|YNJ|
YNJ|YXE,|YXE|YVR|ICN|YNJ|
YNJ|CKY,|CKY|DKR|BRU|IST|PEK|YNJ|
YNJ|FIH,|FIH|IST|PEK|YNJ|
YNJ|SCL,|SCL|YYZ|PEK|YNJ|
YNJ|LCA,|LCA|FRA|TSE|URC|HET|CGQ|YNJ|
YNJ|NAP,|NAP|IST|PEK|YNJ|
YNJ|VLC,|VLC|FRA|TSE|URC|HET|CGQ|YNJ|
YNJ|BKK,|BKK|WUH|DLC|YNJ|
YNJ|ADD,|ADD|IST|PEK|YNJ|
YNJ|FRA,|FRA|TSE|URC|HET|CGQ|YNJ|
YNJ|IST,|IST|PEK|YNJ|
YNJ|EBB,|EBB|KGL|IST|PEK|YNJ|
YNJ|YLW,|YLW|YVR|ICN|YNJ|
YNJ|YYT,|YYT|YYZ|PEK|YNJ|
YNJ|GUA,|GUA|IAH|YVR|ICN|YNJ|
YNJ|EWR,|EWR|PEK|YNJ|
YNJ|IAD,|IAD|JFK|ICN|YNJ|
YNJ|IAH,|IAH|YVR|ICN|YNJ|
YNJ|ORD,|ORD|PEK|YNJ|
YNJ|SOF,|SOF|IST|PEK|YNJ|
YNJ|YQB,|YQB|YYZ|PEK|YNJ|
YNJ|YXU,|YXU|YYZ|PEK|YNJ|
YNJ|EZE,|EZE|IAH|YVR|ICN|YNJ|
YNJ|YYJ,|YYJ|YVR|ICN|YNJ|
YNJ|YYY,|YYY|YUL|YYZ|PEK|YNJ|
YNJ|YQQ,|YQQ|YBL|YVR|ICN|YNJ|
YNJ|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|YNJ|
