YNT|BRU,|BRU|IST|PEK|SHE|YNT|
YNT|OUA,|OUA|NIM|IST|PEK|SHE|YNT|
YNT|JED,|JED|IST|PEK|SHE|YNT|
YNT|CPH,|CPH|AMS|PEK|SHE|YNT|
YNT|YYZ,|YYZ|PEK|SHE|YNT|
YNT|DEN,|DEN|YVR|ICN|SHE|YNT|
YNT|YUL,|YUL|YYZ|PEK|SHE|YNT|
YNT|NBO,|NBO|CAN|YNT|
YNT|ICN,|ICN|SHE|YNT|
YNT|NRT,|NRT|SHE|YNT|
YNT|YHZ,|YHZ|YYZ|PEK|SHE|YNT|
YNT|YOW,|YOW|YYZ|PEK|SHE|YNT|
YNT|BJM,|BJM|BRU|IST|PEK|SHE|YNT|
YNT|COO,|COO|BRU|IST|PEK|SHE|YNT|
YNT|DKR,|DKR|BRU|IST|PEK|SHE|YNT|
YNT|DLA,|DLA|IST|PEK|SHE|YNT|
YNT|KGL,|KGL|IST|PEK|SHE|YNT|
YNT|LAD,|LAD|BRU|IST|PEK|SHE|YNT|
YNT|ABJ,|ABJ|OUA|NIM|IST|PEK|SHE|YNT|
YNT|AMS,|AMS|PEK|SHE|YNT|
YNT|OSL,|OSL|CPH|AMS|PEK|SHE|YNT|
YNT|VNO,|VNO|IST|PEK|SHE|YNT|
YNT|WAW,|WAW|IST|PEK|SHE|YNT|
YNT|YYC,|YYC|YVR|ICN|SHE|YNT|
YNT|ATL,|ATL|ORD|PEK|SHE|YNT|
YNT|MSY,|MSY|DEN|YVR|ICN|SHE|YNT|
YNT|YEG,|YEG|YVR|ICN|SHE|YNT|
YNT|YMM,|YMM|YVR|ICN|SHE|YNT|
YNT|YQR,|YQR|YVR|ICN|SHE|YNT|
YNT|YVR,|YVR|ICN|SHE|YNT|
YNT|YWG,|YWG|YVR|ICN|SHE|YNT|
YNT|YXE,|YXE|YVR|ICN|SHE|YNT|
YNT|CKY,|CKY|DKR|BRU|IST|PEK|SHE|YNT|
YNT|FIH,|FIH|IST|PEK|SHE|YNT|
YNT|SCL,|SCL|YYZ|PEK|SHE|YNT|
YNT|LCA,|LCA|FRA|TSE|URC|HET|SHE|YNT|
YNT|NAP,|NAP|IST|PEK|SHE|YNT|
YNT|VLC,|VLC|FRA|TSE|URC|HET|SHE|YNT|
YNT|BKK,|BKK|CSX|YNT|
YNT|ADD,|ADD|IST|PEK|SHE|YNT|
YNT|FRA,|FRA|TSE|URC|HET|SHE|YNT|
YNT|IST,|IST|PEK|SHE|YNT|
YNT|EBB,|EBB|KGL|IST|PEK|SHE|YNT|
YNT|YLW,|YLW|YVR|ICN|SHE|YNT|
YNT|YYT,|YYT|YYZ|PEK|SHE|YNT|
YNT|GUA,|GUA|IAH|YVR|ICN|SHE|YNT|
YNT|EWR,|EWR|PEK|SHE|YNT|
YNT|IAD,|IAD|PEK|SHE|YNT|
YNT|IAH,|IAH|YVR|ICN|SHE|YNT|
YNT|ORD,|ORD|PEK|SHE|YNT|
YNT|SOF,|SOF|IST|PEK|SHE|YNT|
YNT|YQB,|YQB|YYZ|PEK|SHE|YNT|
YNT|YXU,|YXU|YYZ|PEK|SHE|YNT|
YNT|EZE,|EZE|GRU|IST|PEK|SHE|YNT|
YNT|YYJ,|YYJ|YVR|ICN|SHE|YNT|
YNT|YYY,|YYY|YUL|YYZ|PEK|SHE|YNT|
YNT|YQQ,|YQQ|YBL|YVR|ICN|SHE|YNT|
YNT|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|SHE|YNT|
YNT|LHR,|LHR|IST|PEK|SHE|YNT|
YNT|SFO,|SFO|ICN|SHE|YNT|
YNT|YQU,|YQU|YEG|YVR|ICN|SHE|YNT|
YNT|YZF,|YZF|YEG|YVR|ICN|SHE|YNT|
YNT|YGR,|YGR|YGP|YQB|YYZ|PEK|SHE|YNT|
YNT|YGP,|YGP|YQB|YYZ|PEK|SHE|YNT|
YNT|BOS,|BOS|YYZ|PEK|SHE|YNT|
YNT|YDF,|YDF|YYZ|PEK|SHE|YNT|
YNT|YFC,|YFC|YYZ|PEK|SHE|YNT|
YNT|YQM,|YQM|YYZ|PEK|SHE|YNT|
YNT|YQX,|YQX|YHZ|YYZ|PEK|SHE|YNT|
YNT|YQY,|YQY|YYZ|PEK|SHE|YNT|
YNT|YSJ,|YSJ|YYZ|PEK|SHE|YNT|
YNT|YYG,|YYG|YYZ|PEK|SHE|YNT|
YNT|LAX,|LAX|ICN|SHE|YNT|
YNT|DCA,|DCA|YYZ|PEK|SHE|YNT|
YNT|LGA,|LGA|YYZ|PEK|SHE|YNT|
YNT|YZV,|YZV|YQB|YYZ|PEK|SHE|YNT|
YNT|YWL,|YWL|YVR|ICN|SHE|YNT|
YNT|AZS,|AZS|YYZ|PEK|SHE|YNT|
YNT|BDL,|BDL|YYZ|PEK|SHE|YNT|
YNT|CCC,|CCC|YYZ|PEK|SHE|YNT|
YNT|CDG,|CDG|IST|PEK|SHE|YNT|
YNT|CUN,|CUN|YVR|ICN|SHE|YNT|
YNT|CZM,|CZM|IAH|YVR|ICN|SHE|YNT|
YNT|FDF,|FDF|YUL|YYZ|PEK|SHE|YNT|
YNT|FLL,|FLL|ORD|PEK|SHE|YNT|
YNT|GVA,|GVA|IST|PEK|SHE|YNT|
YNT|HOG,|HOG|YYZ|PEK|SHE|YNT|
YNT|LAS,|LAS|SFO|ICN|SHE|YNT|
YNT|MBJ,|MBJ|ATL|ORD|PEK|SHE|YNT|
YNT|MCO,|MCO|ORD|PEK|SHE|YNT|
YNT|MUC,|MUC|IST|PEK|SHE|YNT|
YNT|PAP,|PAP|YUL|YYZ|PEK|SHE|YNT|
YNT|PTP,|PTP|YUL|YYZ|PEK|SHE|YNT|
YNT|PUJ,|PUJ|EWR|PEK|SHE|YNT|
YNT|SNU,|SNU|YYZ|PEK|SHE|YNT|
YNT|VRA,|VRA|YYZ|PEK|SHE|YNT|
YNT|YBC,|YBC|YUL|YYZ|PEK|SHE|YNT|
YNT|YBG,|YBG|YUL|YYZ|PEK|SHE|YNT|
YNT|YTZ,|YTZ|YUL|YYZ|PEK|SHE|YNT|
YNT|YUY,|YUY|YUL|YYZ|PEK|SHE|YNT|
YNT|YVO,|YVO|YUL|YYZ|PEK|SHE|YNT|
YNT|ZBF,|ZBF|YUL|YYZ|PEK|SHE|YNT|
YNT|ZRH,|ZRH|IST|PEK|SHE|YNT|
YNT|ZSA,|ZSA|YUL|YYZ|PEK|SHE|YNT|
YNT|AKL,|AKL|CAN|YNT|
YNT|HKG,|HKG|CAN|YNT|
YNT|HND,|HND|HNL|NRT|SHE|YNT|
YNT|HNL,|HNL|NRT|SHE|YNT|
YNT|MEX,|MEX|SFO|ICN|SHE|YNT|
YNT|OGG,|OGG|HNL|NRT|SHE|YNT|
YNT|PDX,|PDX|SEA|ICN|SHE|YNT|
YNT|PEK,|PEK|SHE|YNT|
YNT|PVG,|PVG|SHE|YNT|
YNT|PVR,|PVR|LAX|ICN|SHE|YNT|
YNT|SEA,|SEA|ICN|SHE|YNT|
YNT|SYD,|SYD|CAN|YNT|
YNT|YBL,|YBL|YVR|ICN|SHE|YNT|
YNT|YCD,|YCD|YVR|ICN|SHE|YNT|
YNT|YCG,|YCG|YVR|ICN|SHE|YNT|
YNT|YKA,|YKA|YVR|ICN|SHE|YNT|
YNT|YPR,|YPR|YVR|ICN|SHE|YNT|
YNT|YQZ,|YQZ|YVR|ICN|SHE|YNT|
YNT|YXC,|YXC|YVR|ICN|SHE|YNT|
YNT|YXJ,|YXJ|YVR|ICN|SHE|YNT|
YNT|YXS,|YXS|YVR|ICN|SHE|YNT|
YNT|YXT,|YXT|YVR|ICN|SHE|YNT|
YNT|YXY,|YXY|YVR|ICN|SHE|YNT|
