YPR|BRU,|BRU|YUL|YVR|YPR|
YPR|OUA,|OUA|BRU|YUL|YVR|YPR|
YPR|JED,|JED|FRA|YVR|YPR|
YPR|CPH,|CPH|YYZ|YVR|YPR|
YPR|YYZ,|YYZ|YVR|YPR|
YPR|DEN,|DEN|YVR|YPR|
YPR|YUL,|YUL|YVR|YPR|
YPR|NBO,|NBO|IST|MUC|YVR|YPR|
YPR|ICN,|ICN|YVR|YPR|
YPR|NRT,|NRT|YVR|YPR|
YPR|YHZ,|YHZ|YYC|YVR|YPR|
YPR|YOW,|YOW|YVR|YPR|
YPR|BJM,|BJM|BRU|YUL|YVR|YPR|
YPR|COO,|COO|BRU|YUL|YVR|YPR|
YPR|DKR,|DKR|IAD|ORD|YVR|YPR|
YPR|DLA,|DLA|IST|MUC|YVR|YPR|
YPR|KGL,|KGL|IST|MUC|YVR|YPR|
YPR|LAD,|LAD|BRU|YUL|YVR|YPR|
YPR|ABJ,|ABJ|BRU|YUL|YVR|YPR|
YPR|AMS,|AMS|ORD|YVR|YPR|
YPR|OSL,|OSL|EWR|YVR|YPR|
YPR|VNO,|VNO|FRA|YVR|YPR|
YPR|WAW,|WAW|YYZ|YVR|YPR|
YPR|YYC,|YYC|YVR|YPR|
YPR|ATL,|ATL|DEN|YVR|YPR|
YPR|MSY,|MSY|DEN|YVR|YPR|
YPR|YEG,|YEG|YVR|YPR|
YPR|YMM,|YMM|YVR|YPR|
YPR|YQR,|YQR|YVR|YPR|
YPR|YVR,|YVR|YPR|
YPR|YWG,|YWG|YVR|YPR|
YPR|YXE,|YXE|YVR|YPR|
YPR|CKY,|CKY|DKR|IAD|ORD|YVR|YPR|
YPR|FIH,|FIH|IST|MUC|YVR|YPR|
YPR|SCL,|SCL|YYZ|YVR|YPR|
YPR|LCA,|LCA|FRA|YVR|YPR|
YPR|NAP,|NAP|FRA|YVR|YPR|
YPR|VLC,|VLC|FRA|YVR|YPR|
YPR|BKK,|BKK|CGO|PEK|YVR|YPR|
YPR|ADD,|ADD|IST|MUC|YVR|YPR|
YPR|FRA,|FRA|YVR|YPR|
YPR|IST,|IST|MUC|YVR|YPR|
YPR|EBB,|EBB|KGL|IST|MUC|YVR|YPR|
YPR|YLW,|YLW|YVR|YPR|
YPR|YYT,|YYT|YUL|YVR|YPR|
YPR|GUA,|GUA|IAH|YVR|YPR|
YPR|EWR,|EWR|YVR|YPR|
YPR|IAD,|IAD|ORD|YVR|YPR|
YPR|IAH,|IAH|YVR|YPR|
YPR|ORD,|ORD|YVR|YPR|
YPR|SOF,|SOF|MUC|YVR|YPR|
YPR|YQB,|YQB|YUL|YVR|YPR|
YPR|YXU,|YXU|YYC|YVR|YPR|
YPR|EZE,|EZE|IAH|YVR|YPR|
YPR|YYJ,|YYJ|YVR|YPR|
YPR|YYY,|YYY|YUL|YVR|YPR|
YPR|YQQ,|YQQ|YBL|YVR|YPR|
YPR|YYR,|YYR|YWK|YZV|YUL|YVR|YPR|
YPR|LHR,|LHR|YVR|YPR|
YPR|SFO,|SFO|YVR|YPR|
YPR|YQU,|YQU|YEG|YVR|YPR|
YPR|YZF,|YZF|YEG|YVR|YPR|
YPR|YGR,|YGR|YGP|YQB|YUL|YVR|YPR|
YPR|YGP,|YGP|YQB|YUL|YVR|YPR|
YPR|BOS,|BOS|YOW|YVR|YPR|
YPR|YDF,|YDF|YHZ|YYC|YVR|YPR|
YPR|YFC,|YFC|YUL|YVR|YPR|
YPR|YQM,|YQM|YUL|YVR|YPR|
YPR|YQX,|YQX|YHZ|YYC|YVR|YPR|
YPR|YQY,|YQY|YHZ|YYC|YVR|YPR|
YPR|YSJ,|YSJ|YUL|YVR|YPR|
YPR|YYG,|YYG|YUL|YVR|YPR|
YPR|LAX,|LAX|YVR|YPR|
YPR|DCA,|DCA|ORD|YVR|YPR|
YPR|LGA,|LGA|YYZ|YVR|YPR|
YPR|YZV,|YZV|YUL|YVR|YPR|
YPR|YWL,|YWL|YVR|YPR|
YPR|AZS,|AZS|YYZ|YVR|YPR|
YPR|BDL,|BDL|YYZ|YVR|YPR|
YPR|CCC,|CCC|YYZ|YVR|YPR|
YPR|CDG,|CDG|YUL|YVR|YPR|
YPR|CUN,|CUN|YVR|YPR|
YPR|CZM,|CZM|IAH|YVR|YPR|
YPR|FDF,|FDF|YUL|YVR|YPR|
YPR|FLL,|FLL|DEN|YVR|YPR|
YPR|GVA,|GVA|YUL|YVR|YPR|
YPR|HOG,|HOG|YYZ|YVR|YPR|
YPR|LAS,|LAS|YVR|YPR|
YPR|MBJ,|MBJ|IAH|YVR|YPR|
YPR|MCO,|MCO|DEN|YVR|YPR|
YPR|MUC,|MUC|YVR|YPR|
YPR|PAP,|PAP|YUL|YVR|YPR|
YPR|PTP,|PTP|YUL|YVR|YPR|
YPR|PUJ,|PUJ|ORD|YVR|YPR|
YPR|SNU,|SNU|YYZ|YVR|YPR|
YPR|VRA,|VRA|YYC|YVR|YPR|
YPR|YBC,|YBC|YUL|YVR|YPR|
YPR|YBG,|YBG|YUL|YVR|YPR|
YPR|YTZ,|YTZ|YUL|YVR|YPR|
YPR|YUY,|YUY|YUL|YVR|YPR|
YPR|YVO,|YVO|YUL|YVR|YPR|
YPR|ZBF,|ZBF|YUL|YVR|YPR|
YPR|ZRH,|ZRH|YUL|YVR|YPR|
YPR|ZSA,|ZSA|YUL|YVR|YPR|
YPR|AKL,|AKL|YVR|YPR|
YPR|HKG,|HKG|YVR|YPR|
YPR|HND,|HND|YVR|YPR|
YPR|HNL,|HNL|YVR|YPR|
YPR|MEX,|MEX|YVR|YPR|
YPR|OGG,|OGG|YVR|YPR|
YPR|PDX,|PDX|YVR|YPR|
YPR|PEK,|PEK|YVR|YPR|
YPR|PVG,|PVG|YVR|YPR|
YPR|PVR,|PVR|YVR|YPR|
YPR|SEA,|SEA|YVR|YPR|
YPR|SYD,|SYD|YVR|YPR|
YPR|YBL,|YBL|YVR|YPR|
YPR|YCD,|YCD|YVR|YPR|
YPR|YCG,|YCG|YVR|YPR|
YPR|YKA,|YKA|YVR|YPR|
YPR|YQZ,|YQZ|YVR|YPR|
YPR|YXC,|YXC|YVR|YPR|
YPR|YXJ,|YXJ|YVR|YPR|
YPR|YXS,|YXS|YVR|YPR|
YPR|YXT,|YXT|YVR|YPR|
YPR|YXY,|YXY|YVR|YPR|
YPR|YYD,|YYD|YVR|YPR|
YPR|YYF,|YYF|YVR|YPR|
YPR|YZP,|YZP|YVR|YPR|
YPR|YQT,|YQT|YWG|YVR|YPR|
YPR|SJD,|SJD|YVR|YPR|
YPR|YQF,|YQF|YYC|YVR|YPR|
YPR|YQL,|YQL|YYC|YVR|YPR|
YPR|YXH,|YXH|YYC|YVR|YPR|
YPR|YWK,|YWK|YZV|YUL|YVR|YPR|
YPR|ANU,|ANU|YYZ|YVR|YPR|
YPR|AUA,|AUA|ATL|DEN|YVR|YPR|
YPR|AUH,|AUH|FRA|YVR|YPR|
YPR|BCN,|BCN|YYZ|YVR|YPR|
YPR|BDA,|BDA|EWR|YVR|YPR|
YPR|BGI,|BGI|YYZ|YVR|YPR|
YPR|BNA,|BNA|DEN|YVR|YPR|
YPR|BOG,|BOG|IAH|YVR|YPR|
YPR|BWI,|BWI|ORD|YVR|YPR|
YPR|CLE,|CLE|ORD|YVR|YPR|
YPR|CLT,|CLT|ORD|YVR|YPR|
YPR|CMH,|CMH|ORD|YVR|YPR|
YPR|CVG,|CVG|ORD|YVR|YPR|
YPR|DFW,|DFW|YVR|YPR|
YPR|DTW,|DTW|ORD|YVR|YPR|
YPR|DUB,|DUB|YYZ|YVR|YPR|
YPR|FCO,|FCO|YYZ|YVR|YPR|
YPR|GCM,|GCM|IAH|YVR|YPR|
YPR|GGT,|GGT|FLL|DEN|YVR|YPR|
YPR|GND,|GND|YYZ|YVR|YPR|
YPR|GRU,|GRU|IAH|YVR|YPR|
YPR|HAV,|HAV|YYZ|YVR|YPR|
YPR|IND,|IND|ORD|YVR|YPR|
YPR|JFK,|JFK|YYZ|YVR|YPR|
YPR|KIN,|KIN|YYZ|YVR|YPR|
YPR|LIM,|LIM|IAH|YVR|YPR|
YPR|LIR,|LIR|IAH|YVR|YPR|
YPR|MCI,|MCI|DEN|YVR|YPR|
YPR|MDT,|MDT|ORD|YVR|YPR|
YPR|MIA,|MIA|DEN|YVR|YPR|
YPR|MKE,|MKE|SEA|YVR|YPR|
YPR|MSP,|MSP|DEN|YVR|YPR|
YPR|NAS,|NAS|ATL|DEN|YVR|YPR|
YPR|PHL,|PHL|YYZ|YVR|YPR|
YPR|PHX,|PHX|SEA|YVR|YPR|
YPR|PIT,|PIT|ORD|YVR|YPR|
YPR|PLS,|PLS|YYZ|YVR|YPR|
YPR|POP,|POP|YYZ|YVR|YPR|
YPR|RDU,|RDU|ORD|YVR|YPR|
YPR|ROC,|ROC|YYZ|YVR|YPR|
YPR|RSW,|RSW|DEN|YVR|YPR|
YPR|SAN,|SAN|RNO|SEA|YVR|YPR|
YPR|SJO,|SJO|IAH|YVR|YPR|
YPR|STL,|STL|DEN|YVR|YPR|
YPR|SYR,|SYR|YYZ|YVR|YPR|
