YQL|BRU,|BRU|YUL|YYC|YQL|
YQL|OUA,|OUA|BRU|YUL|YYC|YQL|
YQL|JED,|JED|FRA|YYC|YQL|
YQL|CPH,|CPH|YYZ|YYC|YQL|
YQL|YYZ,|YYZ|YYC|YQL|
YQL|DEN,|DEN|YYC|YQL|
YQL|YUL,|YUL|YYC|YQL|
YQL|NBO,|NBO|IST|FRA|YYC|YQL|
YQL|ICN,|ICN|YVR|YYC|YQL|
YQL|NRT,|NRT|YYC|YQL|
YQL|YHZ,|YHZ|YYC|YQL|
YQL|YOW,|YOW|YYC|YQL|
YQL|BJM,|BJM|BRU|YUL|YYC|YQL|
YQL|COO,|COO|BRU|YUL|YYC|YQL|
YQL|DKR,|DKR|IAD|ORD|YYC|YQL|
YQL|DLA,|DLA|BRU|YUL|YYC|YQL|
YQL|KGL,|KGL|IST|FRA|YYC|YQL|
YQL|LAD,|LAD|BRU|YUL|YYC|YQL|
YQL|ABJ,|ABJ|BRU|YUL|YYC|YQL|
YQL|AMS,|AMS|ORD|YYC|YQL|
YQL|OSL,|OSL|EWR|YYC|YQL|
YQL|VNO,|VNO|FRA|YYC|YQL|
YQL|WAW,|WAW|YYZ|YYC|YQL|
YQL|YYC,|YYC|YQL|
YQL|ATL,|ATL|ORD|YYC|YQL|
YQL|MSY,|MSY|DEN|YYC|YQL|
YQL|YEG,|YEG|YYC|YQL|
YQL|YMM,|YMM|YYC|YQL|
YQL|YQR,|YQR|YYC|YQL|
YQL|YVR,|YVR|YYC|YQL|
YQL|YWG,|YWG|YYC|YQL|
YQL|YXE,|YXE|YYC|YQL|
YQL|CKY,|CKY|DKR|IAD|ORD|YYC|YQL|
YQL|FIH,|FIH|IST|FRA|YYC|YQL|
YQL|SCL,|SCL|YYZ|YYC|YQL|
YQL|LCA,|LCA|FRA|YYC|YQL|
YQL|NAP,|NAP|FRA|YYC|YQL|
YQL|VLC,|VLC|FRA|YYC|YQL|
YQL|BKK,|BKK|CGO|PEK|YVR|YYC|YQL|
YQL|ADD,|ADD|JED|FRA|YYC|YQL|
YQL|FRA,|FRA|YYC|YQL|
YQL|IST,|IST|FRA|YYC|YQL|
YQL|EBB,|EBB|KGL|IST|FRA|YYC|YQL|
YQL|YLW,|YLW|YYC|YQL|
YQL|YYT,|YYT|YUL|YYC|YQL|
YQL|GUA,|GUA|IAH|YYC|YQL|
YQL|EWR,|EWR|YYC|YQL|
YQL|IAD,|IAD|ORD|YYC|YQL|
YQL|IAH,|IAH|YYC|YQL|
YQL|ORD,|ORD|YYC|YQL|
YQL|SOF,|SOF|IST|FRA|YYC|YQL|
YQL|YQB,|YQB|YUL|YYC|YQL|
YQL|YXU,|YXU|YYC|YQL|
YQL|EZE,|EZE|IAH|YYC|YQL|
YQL|YYJ,|YYJ|YYC|YQL|
YQL|YYY,|YYY|YUL|YYC|YQL|
YQL|YQQ,|YQQ|YYC|YQL|
YQL|YYR,|YYR|YWK|YZV|YUL|YYC|YQL|
YQL|LHR,|LHR|YYC|YQL|
YQL|SFO,|SFO|YYC|YQL|
YQL|YQU,|YQU|YYC|YQL|
YQL|YZF,|YZF|YYC|YQL|
YQL|YGR,|YGR|YGP|YQB|YUL|YYC|YQL|
YQL|YGP,|YGP|YQB|YUL|YYC|YQL|
YQL|BOS,|BOS|YOW|YYC|YQL|
YQL|YDF,|YDF|YHZ|YYC|YQL|
YQL|YFC,|YFC|YUL|YYC|YQL|
YQL|YQM,|YQM|YUL|YYC|YQL|
YQL|YQX,|YQX|YHZ|YYC|YQL|
YQL|YQY,|YQY|YHZ|YYC|YQL|
YQL|YSJ,|YSJ|YUL|YYC|YQL|
YQL|YYG,|YYG|YUL|YYC|YQL|
YQL|LAX,|LAX|YYC|YQL|
YQL|DCA,|DCA|ORD|YYC|YQL|
YQL|LGA,|LGA|YYZ|YYC|YQL|
YQL|YZV,|YZV|YUL|YYC|YQL|
YQL|YWL,|YWL|YVR|YYC|YQL|
YQL|AZS,|AZS|YYZ|YYC|YQL|
YQL|BDL,|BDL|YYZ|YYC|YQL|
YQL|CCC,|CCC|YYZ|YYC|YQL|
YQL|CDG,|CDG|YUL|YYC|YQL|
YQL|CUN,|CUN|YYC|YQL|
YQL|CZM,|CZM|IAH|YYC|YQL|
YQL|FDF,|FDF|YUL|YYC|YQL|
YQL|FLL,|FLL|MCO|YYC|YQL|
YQL|GVA,|GVA|YUL|YYC|YQL|
YQL|HOG,|HOG|YYZ|YYC|YQL|
YQL|LAS,|LAS|YYC|YQL|
YQL|MBJ,|MBJ|IAH|YYC|YQL|
YQL|MCO,|MCO|YYC|YQL|
YQL|MUC,|MUC|YVR|YYC|YQL|
YQL|PAP,|PAP|YUL|YYC|YQL|
YQL|PTP,|PTP|YUL|YYC|YQL|
