YQX|BRU,|BRU|YUL|YHZ|YQX|
YQX|OUA,|OUA|NIM|IST|LHR|YYT|YQX|
YQX|JED,|JED|IST|LHR|YYT|YQX|
YQX|CPH,|CPH|AMS|EWR|YHZ|YQX|
YQX|YYZ,|YYZ|YHZ|YQX|
YQX|DEN,|DEN|YUL|YHZ|YQX|
YQX|YUL,|YUL|YHZ|YQX|
YQX|NBO,|NBO|IST|LHR|YYT|YQX|
YQX|ICN,|ICN|JFK|YUL|YHZ|YQX|
YQX|NRT,|NRT|YYZ|YHZ|YQX|
YQX|YHZ,|YHZ|YQX|
YQX|YOW,|YOW|YHZ|YQX|
YQX|BJM,|BJM|BRU|YUL|YHZ|YQX|
YQX|COO,|COO|BRU|YUL|YHZ|YQX|
YQX|DKR,|DKR|IAD|LGA|YHZ|YQX|
YQX|DLA,|DLA|IST|LHR|YYT|YQX|
YQX|KGL,|KGL|IST|LHR|YYT|YQX|
YQX|LAD,|LAD|BRU|YUL|YHZ|YQX|
YQX|ABJ,|ABJ|OUA|NIM|IST|LHR|YYT|YQX|
YQX|AMS,|AMS|EWR|YHZ|YQX|
YQX|OSL,|OSL|EWR|YHZ|YQX|
YQX|VNO,|VNO|IST|LHR|YYT|YQX|
YQX|WAW,|WAW|IST|LHR|YYT|YQX|
YQX|YYC,|YYC|YHZ|YQX|
YQX|ATL,|ATL|LGA|YHZ|YQX|
YQX|MSY,|MSY|LGA|YHZ|YQX|
YQX|YEG,|YEG|YUL|YHZ|YQX|
YQX|YMM,|YMM|YYZ|YHZ|YQX|
YQX|YQR,|YQR|YWG|YUL|YHZ|YQX|
YQX|YVR,|YVR|YYC|YHZ|YQX|
YQX|YWG,|YWG|YUL|YHZ|YQX|
YQX|YXE,|YXE|YWG|YUL|YHZ|YQX|
YQX|CKY,|CKY|DKR|IAD|LGA|YHZ|YQX|
YQX|FIH,|FIH|IST|LHR|YYT|YQX|
YQX|SCL,|SCL|YYZ|YHZ|YQX|
YQX|LCA,|LCA|FRA|BOS|YHZ|YQX|
YQX|NAP,|NAP|IST|LHR|YYT|YQX|
YQX|VLC,|VLC|FRA|BOS|YHZ|YQX|
YQX|BKK,|BKK|IST|LHR|YYT|YQX|
YQX|ADD,|ADD|IST|LHR|YYT|YQX|
YQX|FRA,|FRA|BOS|YHZ|YQX|
YQX|IST,|IST|LHR|YYT|YQX|
YQX|EBB,|EBB|KGL|IST|LHR|YYT|YQX|
YQX|YLW,|YLW|YYC|YHZ|YQX|
YQX|YYT,|YYT|YQX|
YQX|GUA,|GUA|EWR|YHZ|YQX|
YQX|EWR,|EWR|YHZ|YQX|
YQX|IAD,|IAD|LGA|YHZ|YQX|
YQX|IAH,|IAH|BOS|YHZ|YQX|
YQX|ORD,|ORD|YHZ|YQX|
YQX|SOF,|SOF|IST|LHR|YYT|YQX|
YQX|YQB,|YQB|YUL|YHZ|YQX|
YQX|YXU,|YXU|YYZ|YHZ|YQX|
YQX|EZE,|EZE|GRU|EWR|YHZ|YQX|
YQX|YYJ,|YYJ|YYC|YHZ|YQX|
YQX|YYY,|YYY|YUL|YHZ|YQX|
YQX|YQQ,|YQQ|YYC|YHZ|YQX|
YQX|YYR,|YYR|YQX|
YQX|LHR,|LHR|YYT|YQX|
YQX|SFO,|SFO|YUL|YHZ|YQX|
YQX|YQU,|YQU|YEG|YUL|YHZ|YQX|
YQX|YZF,|YZF|YEG|YUL|YHZ|YQX|
YQX|YGR,|YGR|YGP|YQB|YUL|YHZ|YQX|
YQX|YGP,|YGP|YQB|YUL|YHZ|YQX|
YQX|BOS,|BOS|YHZ|YQX|
YQX|YDF,|YDF|YYT|YQX|
YQX|YFC,|YFC|YHZ|YQX|
YQX|YQM,|YQM|YHZ|YQX|
YQX|YQY,|YQY|YHZ|YQX|
YQX|YSJ,|YSJ|YHZ|YQX|
YQX|YYG,|YYG|YHZ|YQX|
YQX|LAX,|LAX|YUL|YHZ|YQX|
YQX|DCA,|DCA|EWR|YHZ|YQX|
YQX|LGA,|LGA|YHZ|YQX|
YQX|YZV,|YZV|YWK|YYR|YQX|
YQX|YWL,|YWL|YVR|YYC|YHZ|YQX|
YQX|AZS,|AZS|YUL|YHZ|YQX|
YQX|BDL,|BDL|YUL|YHZ|YQX|
YQX|CCC,|CCC|YUL|YHZ|YQX|
YQX|CDG,|CDG|YUL|YHZ|YQX|
YQX|CUN,|CUN|YHZ|YQX|
YQX|CZM,|CZM|YUL|YHZ|YQX|
YQX|FDF,|FDF|YUL|YHZ|YQX|
YQX|FLL,|FLL|MCO|YHZ|YQX|
YQX|GVA,|GVA|YUL|YHZ|YQX|
YQX|HOG,|HOG|YUL|YHZ|YQX|
YQX|LAS,|LAS|YUL|YHZ|YQX|
YQX|MBJ,|MBJ|YHZ|YQX|
YQX|MCO,|MCO|YHZ|YQX|
YQX|MUC,|MUC|BOS|YHZ|YQX|
YQX|PAP,|PAP|YUL|YHZ|YQX|
YQX|PTP,|PTP|YUL|YHZ|YQX|
YQX|PUJ,|PUJ|YHZ|YQX|
YQX|SNU,|SNU|YUL|YHZ|YQX|
YQX|VRA,|VRA|YUL|YHZ|YQX|
YQX|YBC,|YBC|YUL|YHZ|YQX|
YQX|YBG,|YBG|YUL|YHZ|YQX|
YQX|YTZ,|YTZ|YUL|YHZ|YQX|
YQX|YUY,|YUY|YUL|YHZ|YQX|
YQX|YVO,|YVO|YUL|YHZ|YQX|
YQX|ZBF,|ZBF|YUL|YHZ|YQX|
YQX|ZRH,|ZRH|BOS|YHZ|YQX|
YQX|ZSA,|ZSA|YUL|YHZ|YQX|
YQX|AKL,|AKL|LAX|YUL|YHZ|YQX|
YQX|HKG,|HKG|CAN|LHR|YYT|YQX|
YQX|HND,|HND|YVR|YYC|YHZ|YQX|
YQX|HNL,|HNL|SFO|YUL|YHZ|YQX|
YQX|MEX,|MEX|EWR|YHZ|YQX|
YQX|OGG,|OGG|SFO|YUL|YHZ|YQX|
YQX|PDX,|PDX|YYC|YHZ|YQX|
YQX|PEK,|PEK|YYZ|YHZ|YQX|
YQX|PVG,|PVG|YYZ|YHZ|YQX|
YQX|PVR,|PVR|EWR|YHZ|YQX|
YQX|SEA,|SEA|YYZ|YHZ|YQX|
YQX|SYD,|SYD|SFO|YUL|YHZ|YQX|
YQX|YBL,|YBL|YVR|YYC|YHZ|YQX|
YQX|YCD,|YCD|YYC|YHZ|YQX|
YQX|YCG,|YCG|YYC|YHZ|YQX|
YQX|YKA,|YKA|YYC|YHZ|YQX|
YQX|YPR,|YPR|YVR|YYC|YHZ|YQX|
YQX|YQZ,|YQZ|YVR|YYC|YHZ|YQX|
YQX|YXC,|YXC|YYC|YHZ|YQX|
YQX|YXJ,|YXJ|YYC|YHZ|YQX|
YQX|YXS,|YXS|YYC|YHZ|YQX|
YQX|YXT,|YXT|YVR|YYC|YHZ|YQX|
YQX|YXY,|YXY|YVR|YYC|YHZ|YQX|
YQX|YYD,|YYD|YVR|YYC|YHZ|YQX|
YQX|YYF,|YYF|YVR|YYC|YHZ|YQX|
YQX|YZP,|YZP|YVR|YYC|YHZ|YQX|
YQX|YQT,|YQT|YYZ|YHZ|YQX|
YQX|SJD,|SJD|EWR|YHZ|YQX|
YQX|YQF,|YQF|YYC|YHZ|YQX|
YQX|YQL,|YQL|YYC|YHZ|YQX|
YQX|YXH,|YXH|YYC|YHZ|YQX|
YQX|YWK,|YWK|YYR|YQX|
YQX|ANU,|ANU|EWR|YHZ|YQX|
YQX|AUA,|AUA|EWR|YHZ|YQX|
YQX|AUH,|AUH|IST|LHR|YYT|YQX|
YQX|BCN,|BCN|EWR|YHZ|YQX|
YQX|BDA,|BDA|EWR|YHZ|YQX|
YQX|BGI,|BGI|YYZ|YHZ|YQX|
YQX|BNA,|BNA|BOS|YHZ|YQX|
YQX|BOG,|BOG|EWR|YHZ|YQX|
YQX|BWI,|BWI|EWR|YHZ|YQX|
YQX|CLE,|CLE|BOS|YHZ|YQX|
YQX|CLT,|CLT|EWR|YHZ|YQX|
YQX|CMH,|CMH|EWR|YHZ|YQX|
YQX|CVG,|CVG|EWR|YHZ|YQX|
YQX|DFW,|DFW|EWR|YHZ|YQX|
YQX|DTW,|DTW|YYZ|YHZ|YQX|
YQX|DUB,|DUB|BOS|YHZ|YQX|
YQX|FCO,|FCO|IST|LHR|YYT|YQX|
YQX|GCM,|GCM|EWR|YHZ|YQX|
YQX|GGT,|GGT|FLL|MCO|YHZ|YQX|
YQX|GND,|GND|YYZ|YHZ|YQX|
YQX|GRU,|GRU|EWR|YHZ|YQX|
YQX|HAV,|HAV|YYZ|YHZ|YQX|
YQX|IND,|IND|CLE|BOS|YHZ|YQX|
YQX|JFK,|JFK|YUL|YHZ|YQX|
YQX|KIN,|KIN|YYZ|YHZ|YQX|
YQX|LIM,|LIM|EWR|YHZ|YQX|
YQX|LIR,|LIR|EWR|YHZ|YQX|
YQX|MCI,|MCI|YYZ|YHZ|YQX|
YQX|MDT,|MDT|IAD|LGA|YHZ|YQX|
YQX|MIA,|MIA|EWR|YHZ|YQX|
YQX|MKE,|MKE|YYZ|YHZ|YQX|
YQX|MSP,|MSP|YUL|YHZ|YQX|
YQX|NAS,|NAS|EWR|YHZ|YQX|
YQX|PHL,|PHL|IAD|LGA|YHZ|YQX|
YQX|PHX,|PHX|YYZ|YHZ|YQX|
YQX|PIT,|PIT|EWR|YHZ|YQX|
YQX|PLS,|PLS|EWR|YHZ|YQX|
YQX|POP,|POP|EWR|YHZ|YQX|
YQX|RDU,|RDU|EWR|YHZ|YQX|
YQX|ROC,|ROC|EWR|YHZ|YQX|
YQX|RSW,|RSW|MCO|YHZ|YQX|
YQX|SAN,|SAN|YYZ|YHZ|YQX|
YQX|SJO,|SJO|EWR|YHZ|YQX|
YQX|STL,|STL|YYZ|YHZ|YQX|
YQX|SYR,|SYR|EWR|YHZ|YQX|
YQX|TLV,|TLV|IST|LHR|YYT|YQX|
YQX|TPA,|TPA|EWR|YHZ|YQX|
YQX|UVF,|UVF|EWR|YHZ|YQX|
YQX|VIE,|VIE|IST|LHR|YYT|YQX|
YQX|YAM,|YAM|YYZ|YHZ|YQX|
YQX|YGK,|YGK|YYZ|YHZ|YQX|
YQX|YQG,|YQG|YYZ|YHZ|YQX|
YQX|YSB,|YSB|YYZ|YHZ|YQX|
YQX|YTS,|YTS|YYZ|YHZ|YQX|
YQX|YYB,|YYB|YYZ|YHZ|YQX|
YQX|YZR,|YZR|YYZ|YHZ|YQX|
YQX|CAN,|CAN|LHR|YYT|YQX|
YQX|URC,|URC|IST|LHR|YYT|YQX|
YQX|CTU,|CTU|URC|IST|LHR|YYT|YQX|
YQX|HGH,|HGH|PEK|YYZ|YHZ|YQX|
YQX|XMN,|XMN|CAN|LHR|YYT|YQX|
YQX|CGO,|CGO|PEK|YYZ|YHZ|YQX|
YQX|CSX,|CSX|CAN|LHR|YYT|YQX|
YQX|SHE,|SHE|PEK|YYZ|YHZ|YQX|
YQX|SJW,|SJW|URC|IST|LHR|YYT|YQX|
YQX|WUH,|WUH|PEK|YYZ|YHZ|YQX|
YQX|SZX,|SZX|MXZ|CAN|LHR|YYT|YQX|
YQX|CKG,|CKG|URC|IST|LHR|YYT|YQX|
YQX|KMG,|KMG|CTU|URC|IST|LHR|YYT|YQX|
YQX|FOC,|FOC|CAN|LHR|YYT|YQX|
YQX|NNG,|NNG|CAN|LHR|YYT|YQX|
YQX|SWA,|SWA|CAN|LHR|YYT|YQX|
