YQY|BRU,|BRU|YUL|YHZ|YQY|
YQY|OUA,|OUA|BRU|YUL|YHZ|YQY|
YQY|JED,|JED|IST|LHR|YHZ|YQY|
YQY|CPH,|CPH|AMS|EWR|YHZ|YQY|
YQY|YYZ,|YYZ|YQY|
YQY|DEN,|DEN|YYZ|YQY|
YQY|YUL,|YUL|YHZ|YQY|
YQY|NBO,|NBO|IST|LHR|YHZ|YQY|
YQY|ICN,|ICN|JFK|YUL|YHZ|YQY|
YQY|NRT,|NRT|YYZ|YQY|
YQY|YHZ,|YHZ|YQY|
YQY|YOW,|YOW|YHZ|YQY|
YQY|BJM,|BJM|BRU|YUL|YHZ|YQY|
YQY|COO,|COO|BRU|YUL|YHZ|YQY|
YQY|DKR,|DKR|IAD|LGA|YHZ|YQY|
YQY|DLA,|DLA|BRU|YUL|YHZ|YQY|
YQY|KGL,|KGL|IST|LHR|YHZ|YQY|
YQY|LAD,|LAD|BRU|YUL|YHZ|YQY|
YQY|ABJ,|ABJ|BRU|YUL|YHZ|YQY|
YQY|AMS,|AMS|EWR|YHZ|YQY|
YQY|OSL,|OSL|EWR|YHZ|YQY|
YQY|VNO,|VNO|FRA|BOS|YHZ|YQY|
YQY|WAW,|WAW|CPH|AMS|EWR|YHZ|YQY|
YQY|YYC,|YYC|YHZ|YQY|
YQY|ATL,|ATL|LGA|YHZ|YQY|
YQY|MSY,|MSY|LGA|YHZ|YQY|
YQY|YEG,|YEG|YUL|YHZ|YQY|
YQY|YMM,|YMM|YYZ|YQY|
YQY|YQR,|YQR|YWG|YUL|YHZ|YQY|
YQY|YVR,|YVR|YYC|YHZ|YQY|
YQY|YWG,|YWG|YUL|YHZ|YQY|
YQY|YXE,|YXE|YWG|YUL|YHZ|YQY|
YQY|CKY,|CKY|DKR|IAD|LGA|YHZ|YQY|
YQY|FIH,|FIH|IST|LHR|YHZ|YQY|
YQY|SCL,|SCL|YYZ|YQY|
YQY|LCA,|LCA|FRA|BOS|YHZ|YQY|
YQY|NAP,|NAP|FRA|BOS|YHZ|YQY|
YQY|VLC,|VLC|FRA|BOS|YHZ|YQY|
YQY|BKK,|BKK|IST|LHR|YHZ|YQY|
YQY|ADD,|ADD|IST|LHR|YHZ|YQY|
YQY|FRA,|FRA|BOS|YHZ|YQY|
YQY|IST,|IST|LHR|YHZ|YQY|
YQY|EBB,|EBB|KGL|IST|LHR|YHZ|YQY|
YQY|YLW,|YLW|YYC|YHZ|YQY|
YQY|YYT,|YYT|YHZ|YQY|
YQY|GUA,|GUA|EWR|YHZ|YQY|
YQY|EWR,|EWR|YHZ|YQY|
YQY|IAD,|IAD|LGA|YHZ|YQY|
YQY|IAH,|IAH|BOS|YHZ|YQY|
YQY|ORD,|ORD|YYZ|YQY|
YQY|SOF,|SOF|IST|LHR|YHZ|YQY|
YQY|YQB,|YQB|YUL|YHZ|YQY|
YQY|YXU,|YXU|YYZ|YQY|
YQY|EZE,|EZE|GRU|EWR|YHZ|YQY|
YQY|YYJ,|YYJ|YYC|YHZ|YQY|
YQY|YYY,|YYY|YUL|YHZ|YQY|
YQY|YQQ,|YQQ|YYC|YHZ|YQY|
YQY|YYR,|YYR|YHZ|YQY|
YQY|LHR,|LHR|YHZ|YQY|
YQY|SFO,|SFO|YUL|YHZ|YQY|
YQY|YQU,|YQU|YEG|YUL|YHZ|YQY|
YQY|YZF,|YZF|YEG|YUL|YHZ|YQY|
YQY|YGR,|YGR|YGP|YQB|YUL|YHZ|YQY|
YQY|YGP,|YGP|YQB|YUL|YHZ|YQY|
YQY|BOS,|BOS|YHZ|YQY|
YQY|YDF,|YDF|YHZ|YQY|
YQY|YFC,|YFC|YHZ|YQY|
YQY|YQM,|YQM|YHZ|YQY|
YQY|YQX,|YQX|YHZ|YQY|
YQY|YSJ,|YSJ|YHZ|YQY|
YQY|YYG,|YYG|YHZ|YQY|
YQY|LAX,|LAX|YYZ|YQY|
YQY|DCA,|DCA|EWR|YHZ|YQY|
YQY|LGA,|LGA|YHZ|YQY|
YQY|YZV,|YZV|YUL|YHZ|YQY|
YQY|YWL,|YWL|YVR|YYC|YHZ|YQY|
YQY|AZS,|AZS|YUL|YHZ|YQY|
YQY|BDL,|BDL|YUL|YHZ|YQY|
YQY|CCC,|CCC|YUL|YHZ|YQY|
YQY|CDG,|CDG|YUL|YHZ|YQY|
YQY|CUN,|CUN|YHZ|YQY|
YQY|CZM,|CZM|YUL|YHZ|YQY|
YQY|FDF,|FDF|YUL|YHZ|YQY|
YQY|FLL,|FLL|MCO|YHZ|YQY|
YQY|GVA,|GVA|YUL|YHZ|YQY|
YQY|HOG,|HOG|YUL|YHZ|YQY|
YQY|LAS,|LAS|YYZ|YQY|
YQY|MBJ,|MBJ|YHZ|YQY|
YQY|MCO,|MCO|YHZ|YQY|
YQY|MUC,|MUC|BOS|YHZ|YQY|
YQY|PAP,|PAP|YUL|YHZ|YQY|
YQY|PTP,|PTP|YUL|YHZ|YQY|
YQY|PUJ,|PUJ|YHZ|YQY|
YQY|SNU,|SNU|YUL|YHZ|YQY|
YQY|VRA,|VRA|YUL|YHZ|YQY|
YQY|YBC,|YBC|YUL|YHZ|YQY|
YQY|YBG,|YBG|YUL|YHZ|YQY|
YQY|YTZ,|YTZ|YUL|YHZ|YQY|
YQY|YUY,|YUY|YUL|YHZ|YQY|
YQY|YVO,|YVO|YUL|YHZ|YQY|
YQY|ZBF,|ZBF|YUL|YHZ|YQY|
YQY|ZRH,|ZRH|BOS|YHZ|YQY|
YQY|ZSA,|ZSA|YUL|YHZ|YQY|
YQY|AKL,|AKL|LAX|YYZ|YQY|
YQY|HKG,|HKG|YYZ|YQY|
YQY|HND,|HND|YVR|YYC|YHZ|YQY|
YQY|HNL,|HNL|SFO|YUL|YHZ|YQY|
YQY|MEX,|MEX|EWR|YHZ|YQY|
