YSB|BRU,|BRU|YUL|YYZ|YSB|
YSB|OUA,|OUA|BRU|YUL|YYZ|YSB|
YSB|JED,|JED|FRA|YYZ|YSB|
YSB|CPH,|CPH|YYZ|YSB|
YSB|YYZ,|YYZ|YSB|
YSB|DEN,|DEN|YYZ|YSB|
YSB|YUL,|YUL|YYZ|YSB|
YSB|NBO,|NBO|ZRH|YYZ|YSB|
YSB|ICN,|ICN|PEK|YYZ|YSB|
YSB|NRT,|NRT|YYZ|YSB|
YSB|YHZ,|YHZ|YYZ|YSB|
YSB|YOW,|YOW|YYZ|YSB|
YSB|BJM,|BJM|BRU|YUL|YYZ|YSB|
YSB|COO,|COO|BRU|YUL|YYZ|YSB|
YSB|DKR,|DKR|IAD|YYZ|YSB|
YSB|DLA,|DLA|BRU|YUL|YYZ|YSB|
YSB|KGL,|KGL|BRU|YUL|YYZ|YSB|
YSB|LAD,|LAD|BRU|YUL|YYZ|YSB|
YSB|ABJ,|ABJ|BRU|YUL|YYZ|YSB|
YSB|AMS,|AMS|EWR|YYZ|YSB|
YSB|OSL,|OSL|EWR|YYZ|YSB|
YSB|VNO,|VNO|CPH|YYZ|YSB|
YSB|WAW,|WAW|YYZ|YSB|
YSB|YYC,|YYC|YYZ|YSB|
YSB|ATL,|ATL|YYZ|YSB|
YSB|MSY,|MSY|YYZ|YSB|
YSB|YEG,|YEG|YYZ|YSB|
YSB|YMM,|YMM|YYZ|YSB|
YSB|YQR,|YQR|YYZ|YSB|
YSB|YVR,|YVR|YYZ|YSB|
YSB|YWG,|YWG|YYZ|YSB|
YSB|YXE,|YXE|YYZ|YSB|
YSB|CKY,|CKY|DKR|IAD|YYZ|YSB|
YSB|FIH,|FIH|DLA|BRU|YUL|YYZ|YSB|
YSB|SCL,|SCL|YYZ|YSB|
YSB|LCA,|LCA|FRA|YYZ|YSB|
YSB|NAP,|NAP|FRA|YYZ|YSB|
YSB|VLC,|VLC|FRA|YYZ|YSB|
YSB|BKK,|BKK|CGO|PEK|YYZ|YSB|
YSB|ADD,|ADD|JED|FRA|YYZ|YSB|
YSB|FRA,|FRA|YYZ|YSB|
YSB|IST,|IST|YYZ|YSB|
YSB|EBB,|EBB|KGL|BRU|YUL|YYZ|YSB|
YSB|YLW,|YLW|YYZ|YSB|
YSB|YYT,|YYT|YYZ|YSB|
YSB|GUA,|GUA|IAD|YYZ|YSB|
YSB|EWR,|EWR|YYZ|YSB|
YSB|IAD,|IAD|YYZ|YSB|
YSB|IAH,|IAH|YYZ|YSB|
YSB|ORD,|ORD|YYZ|YSB|
YSB|SOF,|SOF|MUC|YYZ|YSB|
YSB|YQB,|YQB|YYZ|YSB|
YSB|YXU,|YXU|YYZ|YSB|
YSB|EZE,|EZE|SCL|YYZ|YSB|
YSB|YYJ,|YYJ|YYZ|YSB|
YSB|YYY,|YYY|YUL|YYZ|YSB|
YSB|YQQ,|YQQ|YYC|YYZ|YSB|
YSB|YYR,|YYR|YWK|YZV|YQB|YYZ|YSB|
YSB|LHR,|LHR|YYZ|YSB|
YSB|SFO,|SFO|YYZ|YSB|
YSB|YQU,|YQU|YEG|YYZ|YSB|
YSB|YZF,|YZF|YEG|YYZ|YSB|
YSB|YGR,|YGR|YGP|YQB|YYZ|YSB|
YSB|YGP,|YGP|YQB|YYZ|YSB|
YSB|BOS,|BOS|YYZ|YSB|
YSB|YDF,|YDF|YYZ|YSB|
YSB|YFC,|YFC|YYZ|YSB|
YSB|YQM,|YQM|YYZ|YSB|
YSB|YQX,|YQX|YHZ|YYZ|YSB|
YSB|YQY,|YQY|YYZ|YSB|
YSB|YSJ,|YSJ|YYZ|YSB|
YSB|YYG,|YYG|YYZ|YSB|
YSB|LAX,|LAX|YYZ|YSB|
YSB|DCA,|DCA|YYZ|YSB|
YSB|LGA,|LGA|YYZ|YSB|
YSB|YZV,|YZV|YQB|YYZ|YSB|
YSB|YWL,|YWL|YVR|YYZ|YSB|
YSB|AZS,|AZS|YYZ|YSB|
YSB|BDL,|BDL|YYZ|YSB|
YSB|CCC,|CCC|YYZ|YSB|
YSB|CDG,|CDG|YYZ|YSB|
YSB|CUN,|CUN|YYZ|YSB|
YSB|CZM,|CZM|IAH|YYZ|YSB|
YSB|FDF,|FDF|YUL|YYZ|YSB|
YSB|FLL,|FLL|YYZ|YSB|
YSB|GVA,|GVA|YUL|YYZ|YSB|
YSB|HOG,|HOG|YYZ|YSB|
YSB|LAS,|LAS|YYZ|YSB|
YSB|MBJ,|MBJ|YYZ|YSB|
YSB|MCO,|MCO|YYZ|YSB|
YSB|MUC,|MUC|YYZ|YSB|
YSB|PAP,|PAP|YUL|YYZ|YSB|
YSB|PTP,|PTP|YUL|YYZ|YSB|
YSB|PUJ,|PUJ|YYZ|YSB|
YSB|SNU,|SNU|YYZ|YSB|
YSB|VRA,|VRA|YYZ|YSB|
YSB|YBC,|YBC|YUL|YYZ|YSB|
YSB|YBG,|YBG|YUL|YYZ|YSB|
YSB|YTZ,|YTZ|YUL|YYZ|YSB|
YSB|YUY,|YUY|YUL|YYZ|YSB|
YSB|YVO,|YVO|YUL|YYZ|YSB|
YSB|ZBF,|ZBF|YUL|YYZ|YSB|
YSB|ZRH,|ZRH|YYZ|YSB|
YSB|ZSA,|ZSA|YUL|YYZ|YSB|
YSB|AKL,|AKL|LAX|YYZ|YSB|
YSB|HKG,|HKG|YYZ|YSB|
YSB|HND,|HND|YVR|YYZ|YSB|
YSB|HNL,|HNL|SFO|YYZ|YSB|
YSB|MEX,|MEX|YYZ|YSB|
YSB|OGG,|OGG|SFO|YYZ|YSB|
YSB|PDX,|PDX|ORD|YYZ|YSB|
YSB|PEK,|PEK|YYZ|YSB|
YSB|PVG,|PVG|YYZ|YSB|
YSB|PVR,|PVR|IAH|YYZ|YSB|
YSB|SEA,|SEA|YYZ|YSB|
