YSJ|BRU,|BRU|YUL|YSJ|
YSJ|OUA,|OUA|BRU|YUL|YSJ|
YSJ|JED,|JED|IST|LHR|YHZ|YSJ|
YSJ|CPH,|CPH|YYZ|YSJ|
YSJ|YYZ,|YYZ|YSJ|
YSJ|DEN,|DEN|YUL|YSJ|
YSJ|YUL,|YUL|YSJ|
YSJ|NBO,|NBO|IST|LHR|YHZ|YSJ|
YSJ|ICN,|ICN|JFK|YUL|YSJ|
YSJ|NRT,|NRT|YYZ|YSJ|
YSJ|YHZ,|YHZ|YSJ|
YSJ|YOW,|YOW|YUL|YSJ|
YSJ|BJM,|BJM|BRU|YUL|YSJ|
YSJ|COO,|COO|BRU|YUL|YSJ|
YSJ|DKR,|DKR|IAD|YUL|YSJ|
YSJ|DLA,|DLA|BRU|YUL|YSJ|
YSJ|KGL,|KGL|IST|LHR|YHZ|YSJ|
YSJ|LAD,|LAD|BRU|YUL|YSJ|
YSJ|ABJ,|ABJ|BRU|YUL|YSJ|
YSJ|AMS,|AMS|EWR|YUL|YSJ|
YSJ|OSL,|OSL|EWR|YUL|YSJ|
YSJ|VNO,|VNO|FRA|YUL|YSJ|
YSJ|WAW,|WAW|YYZ|YSJ|
YSJ|YYC,|YYC|YUL|YSJ|
YSJ|ATL,|ATL|IAD|YUL|YSJ|
YSJ|MSY,|MSY|YYZ|YSJ|
YSJ|YEG,|YEG|YUL|YSJ|
YSJ|YMM,|YMM|YYZ|YSJ|
YSJ|YQR,|YQR|YWG|YUL|YSJ|
YSJ|YVR,|YVR|YUL|YSJ|
YSJ|YWG,|YWG|YUL|YSJ|
YSJ|YXE,|YXE|YWG|YUL|YSJ|
YSJ|CKY,|CKY|DKR|IAD|YUL|YSJ|
YSJ|FIH,|FIH|IST|LHR|YHZ|YSJ|
YSJ|SCL,|SCL|YYZ|YSJ|
YSJ|LCA,|LCA|FRA|YUL|YSJ|
YSJ|NAP,|NAP|FRA|YUL|YSJ|
YSJ|VLC,|VLC|FRA|YUL|YSJ|
YSJ|BKK,|BKK|IST|LHR|YHZ|YSJ|
YSJ|ADD,|ADD|IST|LHR|YHZ|YSJ|
YSJ|FRA,|FRA|YUL|YSJ|
YSJ|IST,|IST|LHR|YHZ|YSJ|
YSJ|EBB,|EBB|KGL|IST|LHR|YHZ|YSJ|
YSJ|YLW,|YLW|YYC|YUL|YSJ|
YSJ|YYT,|YYT|YHZ|YSJ|
YSJ|GUA,|GUA|IAD|YUL|YSJ|
YSJ|EWR,|EWR|YUL|YSJ|
YSJ|IAD,|IAD|YUL|YSJ|
YSJ|IAH,|IAH|YUL|YSJ|
YSJ|ORD,|ORD|YYZ|YSJ|
YSJ|SOF,|SOF|IST|LHR|YHZ|YSJ|
YSJ|YQB,|YQB|YUL|YSJ|
YSJ|YXU,|YXU|YYZ|YSJ|
