YTS|BRU,|BRU|YUL|YYZ|YTS|
YTS|OUA,|OUA|BRU|YUL|YYZ|YTS|
YTS|JED,|JED|FRA|YYZ|YTS|
YTS|CPH,|CPH|YYZ|YTS|
YTS|YYZ,|YYZ|YTS|
YTS|DEN,|DEN|YYZ|YTS|
YTS|YUL,|YUL|YYZ|YTS|
YTS|NBO,|NBO|ZRH|YYZ|YTS|
YTS|ICN,|ICN|PEK|YYZ|YTS|
YTS|NRT,|NRT|YYZ|YTS|
YTS|YHZ,|YHZ|YYZ|YTS|
YTS|YOW,|YOW|YYZ|YTS|
YTS|BJM,|BJM|BRU|YUL|YYZ|YTS|
YTS|COO,|COO|BRU|YUL|YYZ|YTS|
YTS|DKR,|DKR|IAD|YYZ|YTS|
YTS|DLA,|DLA|BRU|YUL|YYZ|YTS|
YTS|KGL,|KGL|BRU|YUL|YYZ|YTS|
YTS|LAD,|LAD|BRU|YUL|YYZ|YTS|
YTS|ABJ,|ABJ|BRU|YUL|YYZ|YTS|
YTS|AMS,|AMS|EWR|YYZ|YTS|
YTS|OSL,|OSL|EWR|YYZ|YTS|
YTS|VNO,|VNO|CPH|YYZ|YTS|
YTS|WAW,|WAW|YYZ|YTS|
YTS|YYC,|YYC|YYZ|YTS|
YTS|ATL,|ATL|YYZ|YTS|
YTS|MSY,|MSY|YYZ|YTS|
YTS|YEG,|YEG|YYZ|YTS|
YTS|YMM,|YMM|YYZ|YTS|
YTS|YQR,|YQR|YYZ|YTS|
YTS|YVR,|YVR|YYZ|YTS|
YTS|YWG,|YWG|YYZ|YTS|
YTS|YXE,|YXE|YYZ|YTS|
YTS|CKY,|CKY|DKR|IAD|YYZ|YTS|
YTS|FIH,|FIH|DLA|BRU|YUL|YYZ|YTS|
YTS|SCL,|SCL|YYZ|YTS|
YTS|LCA,|LCA|FRA|YYZ|YTS|
YTS|NAP,|NAP|FRA|YYZ|YTS|
YTS|VLC,|VLC|FRA|YYZ|YTS|
YTS|BKK,|BKK|CGO|PEK|YYZ|YTS|
YTS|ADD,|ADD|JED|FRA|YYZ|YTS|
YTS|FRA,|FRA|YYZ|YTS|
YTS|IST,|IST|YYZ|YTS|
YTS|EBB,|EBB|KGL|BRU|YUL|YYZ|YTS|
YTS|YLW,|YLW|YYZ|YTS|
YTS|YYT,|YYT|YYZ|YTS|
YTS|GUA,|GUA|IAD|YYZ|YTS|
YTS|EWR,|EWR|YYZ|YTS|
YTS|IAD,|IAD|YYZ|YTS|
YTS|IAH,|IAH|YYZ|YTS|
YTS|ORD,|ORD|YYZ|YTS|
YTS|SOF,|SOF|MUC|YYZ|YTS|
YTS|YQB,|YQB|YYZ|YTS|
YTS|YXU,|YXU|YYZ|YTS|
YTS|EZE,|EZE|SCL|YYZ|YTS|
YTS|YYJ,|YYJ|YYZ|YTS|
YTS|YYY,|YYY|YUL|YYZ|YTS|
YTS|YQQ,|YQQ|YYC|YYZ|YTS|
YTS|YYR,|YYR|YWK|YZV|YQB|YYZ|YTS|
YTS|LHR,|LHR|YYZ|YTS|
YTS|SFO,|SFO|YYZ|YTS|
YTS|YQU,|YQU|YEG|YYZ|YTS|
YTS|YZF,|YZF|YEG|YYZ|YTS|
YTS|YGR,|YGR|YGP|YQB|YYZ|YTS|
YTS|YGP,|YGP|YQB|YYZ|YTS|
YTS|BOS,|BOS|YYZ|YTS|
YTS|YDF,|YDF|YYZ|YTS|
YTS|YFC,|YFC|YYZ|YTS|
YTS|YQM,|YQM|YYZ|YTS|
YTS|YQX,|YQX|YHZ|YYZ|YTS|
YTS|YQY,|YQY|YYZ|YTS|
YTS|YSJ,|YSJ|YYZ|YTS|
YTS|YYG,|YYG|YYZ|YTS|
YTS|LAX,|LAX|YYZ|YTS|
YTS|DCA,|DCA|YYZ|YTS|
YTS|LGA,|LGA|YYZ|YTS|
YTS|YZV,|YZV|YQB|YYZ|YTS|
YTS|YWL,|YWL|YVR|YYZ|YTS|
YTS|AZS,|AZS|YYZ|YTS|
YTS|BDL,|BDL|YYZ|YTS|
YTS|CCC,|CCC|YYZ|YTS|
YTS|CDG,|CDG|YYZ|YTS|
YTS|CUN,|CUN|YYZ|YTS|
YTS|CZM,|CZM|IAH|YYZ|YTS|
YTS|FDF,|FDF|YUL|YYZ|YTS|
YTS|FLL,|FLL|YYZ|YTS|
YTS|GVA,|GVA|YUL|YYZ|YTS|
YTS|HOG,|HOG|YYZ|YTS|
YTS|LAS,|LAS|YYZ|YTS|
YTS|MBJ,|MBJ|YYZ|YTS|
YTS|MCO,|MCO|YYZ|YTS|
YTS|MUC,|MUC|YYZ|YTS|
YTS|PAP,|PAP|YUL|YYZ|YTS|
YTS|PTP,|PTP|YUL|YYZ|YTS|
YTS|PUJ,|PUJ|YYZ|YTS|
YTS|SNU,|SNU|YYZ|YTS|
YTS|VRA,|VRA|YYZ|YTS|
YTS|YBC,|YBC|YUL|YYZ|YTS|
YTS|YBG,|YBG|YUL|YYZ|YTS|
YTS|YTZ,|YTZ|YUL|YYZ|YTS|
YTS|YUY,|YUY|YUL|YYZ|YTS|
YTS|YVO,|YVO|YUL|YYZ|YTS|
YTS|ZBF,|ZBF|YUL|YYZ|YTS|
YTS|ZRH,|ZRH|YYZ|YTS|
YTS|ZSA,|ZSA|YUL|YYZ|YTS|
YTS|AKL,|AKL|LAX|YYZ|YTS|
YTS|HKG,|HKG|YYZ|YTS|
YTS|HND,|HND|YVR|YYZ|YTS|
YTS|HNL,|HNL|SFO|YYZ|YTS|
YTS|MEX,|MEX|YYZ|YTS|
YTS|OGG,|OGG|SFO|YYZ|YTS|
YTS|PDX,|PDX|ORD|YYZ|YTS|
YTS|PEK,|PEK|YYZ|YTS|
YTS|PVG,|PVG|YYZ|YTS|
YTS|PVR,|PVR|IAH|YYZ|YTS|
YTS|SEA,|SEA|YYZ|YTS|
YTS|SYD,|SYD|LAX|YYZ|YTS|
YTS|YBL,|YBL|YVR|YYZ|YTS|
YTS|YCD,|YCD|YVR|YYZ|YTS|
YTS|YCG,|YCG|YYC|YYZ|YTS|
YTS|YKA,|YKA|YYC|YYZ|YTS|
YTS|YPR,|YPR|YVR|YYZ|YTS|
YTS|YQZ,|YQZ|YVR|YYZ|YTS|
YTS|YXC,|YXC|YYC|YYZ|YTS|
YTS|YXJ,|YXJ|YYC|YYZ|YTS|
YTS|YXS,|YXS|YYC|YYZ|YTS|
YTS|YXT,|YXT|YVR|YYZ|YTS|
YTS|YXY,|YXY|YVR|YYZ|YTS|
YTS|YYD,|YYD|YVR|YYZ|YTS|
YTS|YYF,|YYF|YVR|YYZ|YTS|
YTS|YZP,|YZP|YVR|YYZ|YTS|
YTS|YQT,|YQT|YYZ|YTS|
YTS|SJD,|SJD|ORD|YYZ|YTS|
YTS|YQF,|YQF|YYC|YYZ|YTS|
YTS|YQL,|YQL|YYC|YYZ|YTS|
YTS|YXH,|YXH|YYC|YYZ|YTS|
YTS|YWK,|YWK|YZV|YQB|YYZ|YTS|
YTS|ANU,|ANU|YYZ|YTS|
YTS|AUA,|AUA|YYZ|YTS|
YTS|AUH,|AUH|YYZ|YTS|
YTS|BCN,|BCN|YYZ|YTS|
YTS|BDA,|BDA|YYZ|YTS|
YTS|BGI,|BGI|YYZ|YTS|
YTS|BNA,|BNA|YYZ|YTS|
YTS|BOG,|BOG|YYZ|YTS|
YTS|BWI,|BWI|YYZ|YTS|
YTS|CLE,|CLE|YYZ|YTS|
YTS|CLT,|CLT|YYZ|YTS|
YTS|CMH,|CMH|YYZ|YTS|
YTS|CVG,|CVG|YYZ|YTS|
YTS|DFW,|DFW|YYZ|YTS|
YTS|DTW,|DTW|YYZ|YTS|
YTS|DUB,|DUB|YYZ|YTS|
YTS|FCO,|FCO|YYZ|YTS|
YTS|GCM,|GCM|YYZ|YTS|
YTS|GGT,|GGT|YYZ|YTS|
YTS|GND,|GND|YYZ|YTS|
YTS|GRU,|GRU|YYZ|YTS|
YTS|HAV,|HAV|YYZ|YTS|
YTS|IND,|IND|YYZ|YTS|
YTS|JFK,|JFK|YYZ|YTS|
YTS|KIN,|KIN|YYZ|YTS|
YTS|LIM,|LIM|YYZ|YTS|
YTS|LIR,|LIR|YYZ|YTS|
YTS|MCI,|MCI|YYZ|YTS|
YTS|MDT,|MDT|YYZ|YTS|
YTS|MIA,|MIA|YYZ|YTS|
YTS|MKE,|MKE|YYZ|YTS|
YTS|MSP,|MSP|YYZ|YTS|
YTS|NAS,|NAS|YYZ|YTS|
YTS|PHL,|PHL|YYZ|YTS|
YTS|PHX,|PHX|YYZ|YTS|
YTS|PIT,|PIT|YYZ|YTS|
YTS|PLS,|PLS|YYZ|YTS|
YTS|POP,|POP|YYZ|YTS|
YTS|RDU,|RDU|YYZ|YTS|
YTS|ROC,|ROC|YYZ|YTS|
YTS|RSW,|RSW|YYZ|YTS|
YTS|SAN,|SAN|YYZ|YTS|
YTS|SJO,|SJO|YYZ|YTS|
YTS|STL,|STL|YYZ|YTS|
YTS|SYR,|SYR|YYZ|YTS|
YTS|TLV,|TLV|YYZ|YTS|
YTS|TPA,|TPA|YYZ|YTS|
YTS|UVF,|UVF|YYZ|YTS|
YTS|VIE,|VIE|YYZ|YTS|
YTS|YAM,|YAM|YYZ|YTS|
YTS|YGK,|YGK|YYZ|YTS|
YTS|YQG,|YQG|YYZ|YTS|
YTS|YSB,|YSB|YYZ|YTS|
YTS|YYB,|YYB|YYZ|YTS|
YTS|YZR,|YZR|YYZ|YTS|
YTS|CAN,|CAN|PEK|YYZ|YTS|
YTS|URC,|URC|TSE|FRA|YYZ|YTS|
YTS|CTU,|CTU|PEK|YYZ|YTS|
YTS|HGH,|HGH|PEK|YYZ|YTS|
YTS|XMN,|XMN|PEK|YYZ|YTS|
YTS|CGO,|CGO|PEK|YYZ|YTS|
YTS|CSX,|CSX|PEK|YYZ|YTS|
YTS|SHE,|SHE|PEK|YYZ|YTS|
YTS|SJW,|SJW|DLC|PEK|YYZ|YTS|
YTS|WUH,|WUH|PEK|YYZ|YTS|
YTS|SZX,|SZX|PEK|YYZ|YTS|
YTS|CKG,|CKG|PEK|YYZ|YTS|
YTS|KMG,|KMG|PEK|YYZ|YTS|
YTS|FOC,|FOC|PEK|YYZ|YTS|
YTS|NNG,|NNG|PEK|YYZ|YTS|
YTS|SWA,|SWA|PEK|YYZ|YTS|
YTS|ACX,|ACX|CAN|PEK|YYZ|YTS|
YTS|AQG,|AQG|CAN|PEK|YYZ|YTS|
YTS|AVA,|AVA|CAN|PEK|YYZ|YTS|
YTS|BFJ,|BFJ|CAN|PEK|YYZ|YTS|
YTS|BHY,|BHY|CGO|PEK|YYZ|YTS|
YTS|BNE,|BNE|CAN|PEK|YYZ|YTS|
YTS|CGD,|CGD|PEK|YYZ|YTS|
YTS|CGK,|CGK|CAN|PEK|YYZ|YTS|
YTS|CGQ,|CGQ|PEK|YYZ|YTS|
YTS|CIH,|CIH|PEK|YYZ|YTS|
YTS|CNX,|CNX|CAN|PEK|YYZ|YTS|
YTS|CZX,|CZX|SHE|PEK|YYZ|YTS|
YTS|DAC,|DAC|IST|YYZ|YTS|
YTS|DAD,|DAD|CAN|PEK|YYZ|YTS|
YTS|DEL,|DEL|EWR|YYZ|YTS|
YTS|DIG,|DIG|KMG|PEK|YYZ|YTS|
YTS|DLC,|DLC|PEK|YYZ|YTS|
YTS|DPS,|DPS|SZX|PEK|YYZ|YTS|
YTS|DXB,|DXB|IST|YYZ|YTS|
YTS|DYG,|DYG|PEK|YYZ|YTS|
YTS|FUG,|FUG|CAN|PEK|YYZ|YTS|
YTS|FUK,|FUK|ICN|PEK|YYZ|YTS|
YTS|HAK,|HAK|PEK|YYZ|YTS|
YTS|HAN,|HAN|PEK|YYZ|YTS|
YTS|HDG,|HDG|CAN|PEK|YYZ|YTS|
YTS|HET,|HET|DLC|PEK|YYZ|YTS|
YTS|HFE,|HFE|XIY|PEK|YYZ|YTS|
YTS|HJJ,|HJJ|CSX|PEK|YYZ|YTS|
YTS|HKT,|HKT|KWE|PEK|YYZ|YTS|
YTS|HRB,|HRB|PEK|YYZ|YTS|
YTS|HZH,|HZH|CAN|PEK|YYZ|YTS|
YTS|JIU,|JIU|CAN|PEK|YYZ|YTS|
YTS|JJN,|JJN|PEK|YYZ|YTS|
YTS|JNG,|JNG|CAN|PEK|YYZ|YTS|
YTS|KHN,|KHN|DLC|PEK|YYZ|YTS|
YTS|KIX,|KIX|SFO|YYZ|YTS|
YTS|KOW,|KOW|PEK|YYZ|YTS|
YTS|KTM,|KTM|IST|YYZ|YTS|
YTS|KUL,|KUL|CAN|PEK|YYZ|YTS|
YTS|KWE,|KWE|PEK|YYZ|YTS|
YTS|KWL,|KWL|PEK|YYZ|YTS|
YTS|LHW,|LHW|CGO|PEK|YYZ|YTS|
YTS|LYA,|LYA|KHN|DLC|PEK|YYZ|YTS|
YTS|LYG,|LYG|HSN|PEK|YYZ|YTS|
YTS|LZH,|LZH|CAN|PEK|YYZ|YTS|
YTS|MEL,|MEL|SYD|LAX|YYZ|YTS|
YTS|MIG,|MIG|CSX|PEK|YYZ|YTS|
YTS|MLE,|MLE|IST|YYZ|YTS|
YTS|MNL,|MNL|XMN|PEK|YYZ|YTS|
YTS|MXZ,|MXZ|CAN|PEK|YYZ|YTS|
YTS|NAO,|NAO|PEK|YYZ|YTS|
YTS|NGB,|NGB|PEK|YYZ|YTS|
YTS|NKG,|NKG|DLC|PEK|YYZ|YTS|
YTS|NNY,|NNY|CGO|PEK|YYZ|YTS|
YTS|PEN,|PEN|CAN|PEK|YYZ|YTS|
YTS|PER,|PER|CAN|PEK|YYZ|YTS|
YTS|PNH,|PNH|CAN|PEK|YYZ|YTS|
YTS|REP,|REP|CAN|PEK|YYZ|YTS|
YTS|RGN,|RGN|CAN|PEK|YYZ|YTS|
YTS|SGN,|SGN|CAN|PEK|YYZ|YTS|
YTS|SHA,|SHA|PEK|YYZ|YTS|
YTS|SIN,|SIN|CAN|PEK|YYZ|YTS|
YTS|SVO,|SVO|URC|TSE|FRA|YYZ|YTS|
YTS|SYX,|SYX|PEK|YYZ|YTS|
YTS|TAO,|TAO|DLC|PEK|YYZ|YTS|
YTS|TEN,|TEN|PEK|YYZ|YTS|
YTS|TNA,|TNA|DLC|PEK|YYZ|YTS|
YTS|TPE,|TPE|PVG|YYZ|YTS|
YTS|TSN,|TSN|DLC|PEK|YYZ|YTS|
YTS|TXN,|TXN|DLC|PEK|YYZ|YTS|
YTS|TYN,|TYN|DAT|CIH|PEK|YYZ|YTS|
YTS|WNZ,|WNZ|CGO|PEK|YYZ|YTS|
YTS|WUX,|WUX|CAN|PEK|YYZ|YTS|
YTS|XFN,|XFN|XMN|PEK|YYZ|YTS|
YTS|XIY,|XIY|PEK|YYZ|YTS|
YTS|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YTS|
YTS|YIH,|YIH|CKG|PEK|YYZ|YTS|
YTS|YIW,|YIW|PEK|YYZ|YTS|
YTS|YNT,|YNT|SHE|PEK|YYZ|YTS|
YTS|YNZ,|YNZ|DLC|PEK|YYZ|YTS|
YTS|YTY,|YTY|DLC|PEK|YYZ|YTS|
YTS|ZHA,|ZHA|CAN|PEK|YYZ|YTS|
YTS|ZYI,|ZYI|PEK|YYZ|YTS|
YTS|BAV,|BAV|CGO|PEK|YYZ|YTS|
YTS|CJU,|CJU|DLC|PEK|YYZ|YTS|
YTS|DSN,|DSN|CGO|PEK|YYZ|YTS|
YTS|HMI,|HMI|URC|TSE|FRA|YYZ|YTS|
YTS|INC,|INC|PEK|YYZ|YTS|
YTS|KHH,|KHH|CGO|PEK|YYZ|YTS|
YTS|UYN,|UYN|CGO|PEK|YYZ|YTS|
YTS|XNN,|XNN|PEK|YYZ|YTS|
YTS|ZUH,|ZUH|PEK|YYZ|YTS|
YTS|YNJ,|YNJ|PEK|YYZ|YTS|
YTS|DAT,|DAT|CIH|PEK|YYZ|YTS|
YTS|JHG,|JHG|CKG|PEK|YYZ|YTS|
YTS|LJG,|LJG|CKG|PEK|YYZ|YTS|
YTS|LXA,|LXA|XIY|PEK|YYZ|YTS|
YTS|YCU,|YCU|CSX|PEK|YYZ|YTS|
YTS|LZO,|LZO|CSX|PEK|YYZ|YTS|
YTS|MDG,|MDG|DLC|PEK|YYZ|YTS|
YTS|NGO,|NGO|DLC|PEK|YYZ|YTS|
YTS|TOY,|TOY|DLC|PEK|YYZ|YTS|
YTS|MFM,|MFM|XMN|PEK|YYZ|YTS|
YTS|TGO,|TGO|HET|DLC|PEK|YYZ|YTS|
YTS|XIL,|XIL|HET|DLC|PEK|YYZ|YTS|
YTS|HEK,|HEK|HRB|PEK|YYZ|YTS|
YTS|KIJ,|KIJ|HRB|PEK|YYZ|YTS|
YTS|LDS,|LDS|HRB|PEK|YYZ|YTS|
YTS|OHE,|OHE|HRB|PEK|YYZ|YTS|
YTS|HSN,|HSN|PEK|YYZ|YTS|
YTS|DLU,|DLU|KMG|PEK|YYZ|YTS|
YTS|SYM,|SYM|KMG|PEK|YYZ|YTS|
YTS|ZAT,|ZAT|KMG|PEK|YYZ|YTS|
YTS|LUN,|LUN|NBO|ZRH|YYZ|YTS|
YTS|AOG,|AOG|PEK|YYZ|YTS|
YTS|GMP,|GMP|PEK|YYZ|YTS|
YTS|ISB,|ISB|IST|YYZ|YTS|
YTS|TAS,|TAS|IST|YYZ|YTS|
YTS|WUS,|WUS|PEK|YYZ|YTS|
YTS|JMU,|JMU|PVG|YYZ|YTS|
YTS|NDG,|NDG|PVG|YYZ|YTS|
YTS|JXA,|JXA|SHE|PEK|YYZ|YTS|
YTS|PUS,|PUS|SHE|PEK|YYZ|YTS|
YTS|BKI,|BKI|SZX|PEK|YYZ|YTS|
YTS|AKU,|AKU|URC|TSE|FRA|YYZ|YTS|
YTS|ALA,|ALA|TSE|FRA|YYZ|YTS|
YTS|ASB,|ASB|GYD|FRA|YYZ|YTS|
YTS|DNH,|DNH|URC|TSE|FRA|YYZ|YTS|
YTS|DYU,|DYU|IST|YYZ|YTS|
YTS|FRU,|FRU|IST|YYZ|YTS|
YTS|GYD,|GYD|FRA|YYZ|YTS|
YTS|HTN,|HTN|URC|TSE|FRA|YYZ|YTS|
YTS|IKA,|IKA|SAW|VIE|YYZ|YTS|
YTS|KCA,|KCA|URC|TSE|FRA|YYZ|YTS|
YTS|KHG,|KHG|URC|TSE|FRA|YYZ|YTS|
YTS|KRL,|KRL|URC|TSE|FRA|YYZ|YTS|
YTS|KRY,|KRY|URC|TSE|FRA|YYZ|YTS|
YTS|LBD,|LBD|URC|TSE|FRA|YYZ|YTS|
YTS|NLT,|NLT|URC|TSE|FRA|YYZ|YTS|
YTS|OSS,|OSS|IST|YYZ|YTS|
YTS|OVB,|OVB|IST|YYZ|YTS|
YTS|TBS,|TBS|SAW|VIE|YYZ|YTS|
YTS|TCG,|TCG|URC|TSE|FRA|YYZ|YTS|
YTS|TSE,|TSE|FRA|YYZ|YTS|
YTS|YIN,|YIN|URC|TSE|FRA|YYZ|YTS|
YTS|ENH,|ENH|WUH|PEK|YYZ|YTS|
YTS|ENY,|ENY|XIY|PEK|YYZ|YTS|
YTS|WXN,|WXN|XIY|PEK|YYZ|YTS|
YTS|BLL,|BLL|IST|YYZ|YTS|
YTS|ESB,|ESB|VIE|YYZ|YTS|
YTS|SAW,|SAW|VIE|YYZ|YTS|
YTS|HAM,|HAM|EWR|YYZ|YTS|
YTS|HRE,|HRE|ADD|JED|FRA|YYZ|YTS|
YTS|JUB,|JUB|CAI|IST|YYZ|YTS|
YTS|SSG,|SSG|DLA|BRU|YUL|YYZ|YTS|
YTS|BGW,|BGW|ESB|VIE|YYZ|YTS|
YTS|EBL,|EBL|IST|YYZ|YTS|
YTS|VKO,|VKO|IST|YYZ|YTS|
YTS|MCT,|MCT|AUH|YYZ|YTS|
YTS|AYT,|AYT|IST|YYZ|YTS|
YTS|SCQ,|SCQ|BIO|IST|YYZ|YTS|
YTS|AAL,|AAL|IST|YYZ|YTS|
YTS|AOE,|AOE|BRU|YUL|YYZ|YTS|
YTS|JNB,|JNB|JFK|YYZ|YTS|
YTS|LBV,|LBV|DLA|BRU|YUL|YYZ|YTS|
YTS|ADA,|ADA|SAW|VIE|YYZ|YTS|
YTS|ADB,|ADB|IST|YYZ|YTS|
YTS|ADF,|ADF|ESB|VIE|YYZ|YTS|
YTS|AJI,|AJI|ESB|VIE|YYZ|YTS|
YTS|BAL,|BAL|ESB|VIE|YYZ|YTS|
YTS|BJV,|BJV|IST|YYZ|YTS|
YTS|CKZ,|CKZ|ESB|VIE|YYZ|YTS|
YTS|DIY,|DIY|ESB|VIE|YYZ|YTS|
YTS|ECN,|ECN|IST|YYZ|YTS|
YTS|ERC,|ERC|ESB|VIE|YYZ|YTS|
YTS|ERZ,|ERZ|ESB|VIE|YYZ|YTS|
YTS|EZS,|EZS|ESB|VIE|YYZ|YTS|
YTS|GNY,|GNY|ESB|VIE|YYZ|YTS|
YTS|GZP,|GZP|ESB|VIE|YYZ|YTS|
YTS|GZT,|GZT|ESB|VIE|YYZ|YTS|
YTS|HTY,|HTY|SAW|VIE|YYZ|YTS|
YTS|KCM,|KCM|ESB|VIE|YYZ|YTS|
YTS|KSY,|KSY|ESB|VIE|YYZ|YTS|
YTS|MLX,|MLX|ESB|VIE|YYZ|YTS|
YTS|MQM,|MQM|ESB|VIE|YYZ|YTS|
YTS|MSR,|MSR|ESB|VIE|YYZ|YTS|
YTS|TEQ,|TEQ|ESB|VIE|YYZ|YTS|
YTS|TZX,|TZX|ESB|VIE|YYZ|YTS|
YTS|VAN,|VAN|ESB|VIE|YYZ|YTS|
YTS|ULN,|ULN|FRU|IST|YYZ|YTS|
YTS|HIJ,|HIJ|ICN|PEK|YYZ|YTS|
YTS|VVO,|VVO|ICN|PEK|YYZ|YTS|
YTS|ACC,|ACC|IST|YYZ|YTS|
YTS|AER,|AER|IST|YYZ|YTS|
YTS|AGP,|AGP|IST|YYZ|YTS|
YTS|ALG,|ALG|IST|YYZ|YTS|
YTS|AMM,|AMM|IST|YYZ|YTS|
YTS|AQJ,|AQJ|IST|YYZ|YTS|
YTS|ARN,|ARN|EWR|YYZ|YTS|
YTS|ASR,|ASR|SAW|VIE|YYZ|YTS|
YTS|ATH,|ATH|IST|YYZ|YTS|
YTS|BAH,|BAH|IST|YYZ|YTS|
YTS|BEG,|BEG|IST|YYZ|YTS|
YTS|BEN,|BEN|IST|YYZ|YTS|
YTS|BEY,|BEY|IST|YYZ|YTS|
YTS|BHX,|BHX|EWR|YYZ|YTS|
YTS|BIO,|BIO|IST|YYZ|YTS|
YTS|BLQ,|BLQ|IST|YYZ|YTS|
YTS|BOM,|BOM|IST|YYZ|YTS|
YTS|BRE,|BRE|IST|YYZ|YTS|
YTS|BSL,|BSL|IST|YYZ|YTS|
YTS|BSR,|BSR|IST|YYZ|YTS|
YTS|BUD,|BUD|IST|YYZ|YTS|
YTS|BUS,|BUS|IST|YYZ|YTS|
YTS|CAI,|CAI|IST|YYZ|YTS|
YTS|CGN,|CGN|IST|YYZ|YTS|
YTS|CMN,|CMN|IST|YYZ|YTS|
YTS|CND,|CND|IST|YYZ|YTS|
YTS|DAR,|DAR|NBO|ZRH|YYZ|YTS|
YTS|DLM,|DLM|IST|YYZ|YTS|
YTS|DMM,|DMM|IST|YYZ|YTS|
YTS|DNK,|DNK|IST|YYZ|YTS|
YTS|DNZ,|DNZ|IST|YYZ|YTS|
YTS|DOK,|DOK|IST|YYZ|YTS|
YTS|DUS,|DUS|EWR|YYZ|YTS|
YTS|EDI,|EDI|EWR|YYZ|YTS|
YTS|ELQ,|ELQ|IST|YYZ|YTS|
YTS|FDH,|FDH|IST|YYZ|YTS|
