YUM|BRU,|BRU|ORD|LAX|YUM|
YUM|OUA,|OUA|BRU|ORD|LAX|YUM|
YUM|JED,|JED|IST|LAX|YUM|
YUM|CPH,|CPH|YYZ|LAX|YUM|
YUM|YYZ,|YYZ|LAX|YUM|
YUM|DEN,|DEN|LAX|YUM|
YUM|YUL,|YUL|LAX|YUM|
YUM|NBO,|NBO|ZRH|LAX|YUM|
YUM|ICN,|ICN|LAX|YUM|
YUM|NRT,|NRT|LAX|YUM|
YUM|YHZ,|YHZ|YUL|LAX|YUM|
YUM|YOW,|YOW|ORD|LAX|YUM|
YUM|BJM,|BJM|BRU|ORD|LAX|YUM|
YUM|COO,|COO|BRU|ORD|LAX|YUM|
YUM|DKR,|DKR|IAD|LAX|YUM|
YUM|DLA,|DLA|BRU|ORD|LAX|YUM|
YUM|KGL,|KGL|IST|LAX|YUM|
YUM|LAD,|LAD|BRU|ORD|LAX|YUM|
YUM|ABJ,|ABJ|BRU|ORD|LAX|YUM|
YUM|AMS,|AMS|ORD|LAX|YUM|
YUM|OSL,|OSL|EWR|LAX|YUM|
YUM|VNO,|VNO|FRA|LAX|YUM|
YUM|WAW,|WAW|YYZ|LAX|YUM|
YUM|YYC,|YYC|LAX|YUM|
YUM|ATL,|ATL|LAX|YUM|
YUM|MSY,|MSY|LAX|YUM|
YUM|YEG,|YEG|LAX|YUM|
YUM|YMM,|YMM|YYC|LAX|YUM|
YUM|YQR,|YQR|LAS|LAX|YUM|
YUM|YVR,|YVR|LAX|YUM|
YUM|YWG,|YWG|LAS|LAX|YUM|
YUM|YXE,|YXE|LAS|LAX|YUM|
YUM|CKY,|CKY|DKR|IAD|LAX|YUM|
YUM|FIH,|FIH|DLA|BRU|ORD|LAX|YUM|
YUM|SCL,|SCL|EZE|IAH|LAX|YUM|
YUM|LCA,|LCA|FRA|LAX|YUM|
YUM|NAP,|NAP|FRA|LAX|YUM|
YUM|VLC,|VLC|FRA|LAX|YUM|
YUM|BKK,|BKK|ICN|LAX|YUM|
YUM|ADD,|ADD|IST|LAX|YUM|
YUM|FRA,|FRA|LAX|YUM|
YUM|IST,|IST|LAX|YUM|
YUM|EBB,|EBB|KGL|IST|LAX|YUM|
YUM|YLW,|YLW|LAX|YUM|
YUM|YYT,|YYT|YUL|LAX|YUM|
YUM|GUA,|GUA|IAH|LAX|YUM|
YUM|EWR,|EWR|LAX|YUM|
YUM|IAD,|IAD|LAX|YUM|
YUM|IAH,|IAH|LAX|YUM|
YUM|ORD,|ORD|LAX|YUM|
YUM|SOF,|SOF|MUC|LAX|YUM|
YUM|YQB,|YQB|YUL|LAX|YUM|
YUM|YXU,|YXU|ORD|LAX|YUM|
YUM|EZE,|EZE|IAH|LAX|YUM|
YUM|YYJ,|YYJ|SFO|LAX|YUM|
YUM|YYY,|YYY|YUL|LAX|YUM|
YUM|YQQ,|YQQ|YBL|YVR|LAX|YUM|
YUM|YYR,|YYR|YWK|YZV|YUL|LAX|YUM|
YUM|LHR,|LHR|LAX|YUM|
YUM|SFO,|SFO|LAX|YUM|
YUM|YQU,|YQU|YYC|LAX|YUM|
YUM|YZF,|YZF|YYC|LAX|YUM|
YUM|YGR,|YGR|YGP|YQB|YUL|LAX|YUM|
YUM|YGP,|YGP|YQB|YUL|LAX|YUM|
YUM|BOS,|BOS|LAX|YUM|
YUM|YDF,|YDF|YYZ|LAX|YUM|
YUM|YFC,|YFC|YUL|LAX|YUM|
YUM|YQM,|YQM|YUL|LAX|YUM|
YUM|YQX,|YQX|YHZ|YUL|LAX|YUM|
YUM|YQY,|YQY|YYZ|LAX|YUM|
YUM|YSJ,|YSJ|YUL|LAX|YUM|
YUM|YYG,|YYG|YUL|LAX|YUM|
YUM|LAX,|LAX|YUM|
YUM|DCA,|DCA|STL|LAX|YUM|
YUM|LGA,|LGA|CLE|LAX|YUM|
YUM|YZV,|YZV|YUL|LAX|YUM|
YUM|YWL,|YWL|YVR|LAX|YUM|
YUM|AZS,|AZS|YYZ|LAX|YUM|
YUM|BDL,|BDL|MDW|LAX|YUM|
YUM|CCC,|CCC|YYZ|LAX|YUM|
YUM|CDG,|CDG|ORD|LAX|YUM|
YUM|CUN,|CUN|LAX|YUM|
YUM|CZM,|CZM|IAH|LAX|YUM|
YUM|FDF,|FDF|YUL|LAX|YUM|
YUM|FLL,|FLL|PHX|LAX|YUM|
YUM|GVA,|GVA|YUL|LAX|YUM|
YUM|HOG,|HOG|YYZ|LAX|YUM|
YUM|LAS,|LAS|LAX|YUM|
YUM|MBJ,|MBJ|IAH|LAX|YUM|
YUM|MCO,|MCO|LAX|YUM|
YUM|MUC,|MUC|LAX|YUM|
YUM|PAP,|PAP|YUL|LAX|YUM|
YUM|PTP,|PTP|YUL|LAX|YUM|
YUM|PUJ,|PUJ|ATL|LAX|YUM|
YUM|SNU,|SNU|YYZ|LAX|YUM|
YUM|VRA,|VRA|YYZ|LAX|YUM|
YUM|YBC,|YBC|YUL|LAX|YUM|
YUM|YBG,|YBG|YUL|LAX|YUM|
YUM|YTZ,|YTZ|YUL|LAX|YUM|
YUM|YUY,|YUY|YUL|LAX|YUM|
YUM|YVO,|YVO|YUL|LAX|YUM|
YUM|ZBF,|ZBF|YUL|LAX|YUM|
