YWG|BRU,|BRU|YUL|YWG|
YWG|OUA,|OUA|BRU|YUL|YWG|
YWG|JED,|JED|FRA|YUL|YWG|
YWG|CPH,|CPH|YYZ|YWG|
YWG|YYZ,|YYZ|YWG|
YWG|DEN,|DEN|YWG|
YWG|YUL,|YUL|YWG|
YWG|NBO,|NBO|ZRH|YUL|YWG|
YWG|ICN,|ICN|YVR|YWG|
YWG|NRT,|NRT|YYC|YWG|
YWG|YHZ,|YHZ|YUL|YWG|
YWG|YOW,|YOW|YWG|
YWG|BJM,|BJM|BRU|YUL|YWG|
YWG|COO,|COO|BRU|YUL|YWG|
YWG|DKR,|DKR|IAD|YYZ|YWG|
YWG|DLA,|DLA|BRU|YUL|YWG|
YWG|KGL,|KGL|BRU|YUL|YWG|
YWG|LAD,|LAD|BRU|YUL|YWG|
YWG|ABJ,|ABJ|BRU|YUL|YWG|
YWG|AMS,|AMS|ORD|YWG|
YWG|OSL,|OSL|EWR|YYZ|YWG|
YWG|VNO,|VNO|CPH|YYZ|YWG|
YWG|WAW,|WAW|YYZ|YWG|
YWG|YYC,|YYC|YWG|
YWG|ATL,|ATL|ORD|YWG|
YWG|MSY,|MSY|ORD|YWG|
YWG|YEG,|YEG|YWG|
YWG|YMM,|YMM|YEG|YWG|
YWG|YQR,|YQR|YWG|
YWG|YVR,|YVR|YWG|
YWG|YXE,|YXE|YWG|
YWG|CKY,|CKY|DKR|IAD|YYZ|YWG|
YWG|FIH,|FIH|DLA|BRU|YUL|YWG|
YWG|SCL,|SCL|YYZ|YWG|
YWG|LCA,|LCA|FRA|YUL|YWG|
YWG|NAP,|NAP|FRA|YUL|YWG|
YWG|VLC,|VLC|FRA|YUL|YWG|
YWG|BKK,|BKK|CGO|PEK|YVR|YWG|
YWG|ADD,|ADD|JED|FRA|YUL|YWG|
YWG|FRA,|FRA|YUL|YWG|
YWG|IST,|IST|FRA|YUL|YWG|
YWG|EBB,|EBB|KGL|BRU|YUL|YWG|
YWG|YLW,|YLW|YYC|YWG|
YWG|YYT,|YYT|YUL|YWG|
YWG|GUA,|GUA|IAH|ORD|YWG|
YWG|EWR,|EWR|YYZ|YWG|
YWG|IAD,|IAD|YYZ|YWG|
YWG|IAH,|IAH|ORD|YWG|
YWG|ORD,|ORD|YWG|
YWG|SOF,|SOF|MUC|YUL|YWG|
YWG|YQB,|YQB|YUL|YWG|
YWG|YXU,|YXU|YWG|
YWG|EZE,|EZE|IAH|ORD|YWG|
YWG|YYJ,|YYJ|YYC|YWG|
YWG|YYY,|YYY|YUL|YWG|
YWG|YQQ,|YQQ|YYC|YWG|
YWG|YYR,|YYR|YWK|YZV|YUL|YWG|
YWG|LHR,|LHR|YUL|YWG|
