YXC|BRU,|BRU|YUL|YYC|YXC|
YXC|OUA,|OUA|BRU|YUL|YYC|YXC|
YXC|JED,|JED|FRA|YYC|YXC|
YXC|CPH,|CPH|YYZ|YYC|YXC|
YXC|YYZ,|YYZ|YYC|YXC|
YXC|DEN,|DEN|YYC|YXC|
YXC|YUL,|YUL|YYC|YXC|
YXC|NBO,|NBO|IST|FRA|YYC|YXC|
YXC|ICN,|ICN|YVR|YXC|
YXC|NRT,|NRT|YVR|YXC|
YXC|YHZ,|YHZ|YYC|YXC|
YXC|YOW,|YOW|YYC|YXC|
YXC|BJM,|BJM|BRU|YUL|YYC|YXC|
YXC|COO,|COO|BRU|YUL|YYC|YXC|
YXC|DKR,|DKR|IAD|ORD|YYC|YXC|
YXC|DLA,|DLA|BRU|YUL|YYC|YXC|
YXC|KGL,|KGL|IST|FRA|YYC|YXC|
YXC|LAD,|LAD|BRU|YUL|YYC|YXC|
YXC|ABJ,|ABJ|BRU|YUL|YYC|YXC|
YXC|AMS,|AMS|ORD|YYC|YXC|
YXC|OSL,|OSL|EWR|YYC|YXC|
YXC|VNO,|VNO|FRA|YYC|YXC|
YXC|WAW,|WAW|YYZ|YYC|YXC|
YXC|YYC,|YYC|YXC|
YXC|ATL,|ATL|ORD|YYC|YXC|
YXC|MSY,|MSY|DEN|YYC|YXC|
YXC|YEG,|YEG|YYC|YXC|
YXC|YMM,|YMM|YYC|YXC|
YXC|YQR,|YQR|YYC|YXC|
YXC|YVR,|YVR|YXC|
YXC|YWG,|YWG|YYC|YXC|
YXC|YXE,|YXE|YYC|YXC|
YXC|CKY,|CKY|DKR|IAD|ORD|YYC|YXC|
YXC|FIH,|FIH|IST|FRA|YYC|YXC|
YXC|SCL,|SCL|YYZ|YYC|YXC|
YXC|LCA,|LCA|FRA|YYC|YXC|
YXC|NAP,|NAP|FRA|YYC|YXC|
YXC|VLC,|VLC|FRA|YYC|YXC|
YXC|BKK,|BKK|CGO|PEK|YVR|YXC|
YXC|ADD,|ADD|JED|FRA|YYC|YXC|
YXC|FRA,|FRA|YYC|YXC|
YXC|IST,|IST|FRA|YYC|YXC|
YXC|EBB,|EBB|KGL|IST|FRA|YYC|YXC|
YXC|YLW,|YLW|YYC|YXC|
YXC|YYT,|YYT|YUL|YYC|YXC|
YXC|GUA,|GUA|IAH|YYC|YXC|
YXC|EWR,|EWR|YYC|YXC|
YXC|IAD,|IAD|ORD|YYC|YXC|
YXC|IAH,|IAH|YYC|YXC|
YXC|ORD,|ORD|YYC|YXC|
YXC|SOF,|SOF|MUC|YVR|YXC|
YXC|YQB,|YQB|YUL|YYC|YXC|
YXC|YXU,|YXU|YYC|YXC|
YXC|EZE,|EZE|IAH|YYC|YXC|
YXC|YYJ,|YYJ|YVR|YXC|
YXC|YYY,|YYY|YUL|YYC|YXC|
YXC|YQQ,|YQQ|YBL|YVR|YXC|
YXC|YYR,|YYR|YWK|YZV|YUL|YYC|YXC|
YXC|LHR,|LHR|YYC|YXC|
YXC|SFO,|SFO|YVR|YXC|
YXC|YQU,|YQU|YYC|YXC|
YXC|YZF,|YZF|YYC|YXC|
YXC|YGR,|YGR|YGP|YQB|YUL|YYC|YXC|
YXC|YGP,|YGP|YQB|YUL|YYC|YXC|
YXC|BOS,|BOS|YOW|YYC|YXC|
YXC|YDF,|YDF|YHZ|YYC|YXC|
YXC|YFC,|YFC|YUL|YYC|YXC|
YXC|YQM,|YQM|YUL|YYC|YXC|
YXC|YQX,|YQX|YHZ|YYC|YXC|
