YXE|BRU,|BRU|YUL|YWG|YXE|
YXE|OUA,|OUA|BRU|YUL|YWG|YXE|
YXE|JED,|JED|IST|LHR|YEG|YXE|
YXE|CPH,|CPH|YYZ|YXE|
YXE|YYZ,|YYZ|YXE|
YXE|DEN,|DEN|YXE|
YXE|YUL,|YUL|YWG|YXE|
YXE|NBO,|NBO|IST|LHR|YEG|YXE|
YXE|ICN,|ICN|YVR|YXE|
YXE|NRT,|NRT|YYC|YXE|
YXE|YHZ,|YHZ|YUL|YWG|YXE|
YXE|YOW,|YOW|YWG|YXE|
YXE|BJM,|BJM|BRU|YUL|YWG|YXE|
YXE|COO,|COO|BRU|YUL|YWG|YXE|
YXE|DKR,|DKR|IAD|ORD|YXE|
YXE|DLA,|DLA|BRU|YUL|YWG|YXE|
YXE|KGL,|KGL|BRU|YUL|YWG|YXE|
YXE|LAD,|LAD|BRU|YUL|YWG|YXE|
YXE|ABJ,|ABJ|BRU|YUL|YWG|YXE|
YXE|AMS,|AMS|ORD|YXE|
YXE|OSL,|OSL|EWR|YYZ|YXE|
YXE|VNO,|VNO|FRA|YYC|YXE|
YXE|WAW,|WAW|YYZ|YXE|
YXE|YYC,|YYC|YXE|
YXE|ATL,|ATL|ORD|YXE|
YXE|MSY,|MSY|DEN|YXE|
YXE|YEG,|YEG|YXE|
YXE|YMM,|YMM|YEG|YXE|
YXE|YQR,|YQR|YEG|YXE|
YXE|YVR,|YVR|YXE|
YXE|YWG,|YWG|YXE|
YXE|CKY,|CKY|DKR|IAD|ORD|YXE|
YXE|FIH,|FIH|DLA|BRU|YUL|YWG|YXE|
YXE|SCL,|SCL|YYZ|YXE|
YXE|LCA,|LCA|FRA|YYC|YXE|
YXE|NAP,|NAP|FRA|YYC|YXE|
YXE|VLC,|VLC|FRA|YYC|YXE|
YXE|BKK,|BKK|CGO|PEK|YVR|YXE|
YXE|ADD,|ADD|IST|LHR|YEG|YXE|
YXE|FRA,|FRA|YYC|YXE|
YXE|IST,|IST|LHR|YEG|YXE|
YXE|EBB,|EBB|KGL|BRU|YUL|YWG|YXE|
YXE|YLW,|YLW|YYC|YXE|
YXE|YYT,|YYT|YUL|YWG|YXE|
YXE|GUA,|GUA|IAH|DEN|YXE|
YXE|EWR,|EWR|YYZ|YXE|
YXE|IAD,|IAD|ORD|YXE|
YXE|IAH,|IAH|DEN|YXE|
YXE|ORD,|ORD|YXE|
YXE|SOF,|SOF|MUC|YUL|YWG|YXE|
YXE|YQB,|YQB|YUL|YWG|YXE|
YXE|YXU,|YXU|YWG|YXE|
YXE|EZE,|EZE|IAH|DEN|YXE|
YXE|YYJ,|YYJ|YYC|YXE|
YXE|YYY,|YYY|YUL|YWG|YXE|
YXE|YQQ,|YQQ|YYC|YXE|
YXE|YYR,|YYR|YWK|YZV|YUL|YWG|YXE|
YXE|LHR,|LHR|YEG|YXE|
YXE|SFO,|SFO|YYC|YXE|
YXE|YQU,|YQU|YEG|YXE|
YXE|YZF,|YZF|YEG|YXE|
YXE|YGR,|YGR|YGP|YQB|YUL|YWG|YXE|
YXE|YGP,|YGP|YQB|YUL|YWG|YXE|
YXE|BOS,|BOS|YOW|YWG|YXE|
YXE|YDF,|YDF|YHZ|YUL|YWG|YXE|
YXE|YFC,|YFC|YUL|YWG|YXE|
YXE|YQM,|YQM|YUL|YWG|YXE|
YXE|YQX,|YQX|YHZ|YUL|YWG|YXE|
