YXJ|BRU,|BRU|YUL|YYC|YXJ|
YXJ|OUA,|OUA|BRU|YUL|YYC|YXJ|
YXJ|JED,|JED|FRA|YYC|YXJ|
YXJ|CPH,|CPH|YYZ|YYC|YXJ|
YXJ|YYZ,|YYZ|YYC|YXJ|
YXJ|DEN,|DEN|YYC|YXJ|
YXJ|YUL,|YUL|YYC|YXJ|
YXJ|NBO,|NBO|IST|FRA|YYC|YXJ|
YXJ|ICN,|ICN|YVR|YXJ|
YXJ|NRT,|NRT|YVR|YXJ|
YXJ|YHZ,|YHZ|YYC|YXJ|
YXJ|YOW,|YOW|YYC|YXJ|
YXJ|BJM,|BJM|BRU|YUL|YYC|YXJ|
YXJ|COO,|COO|BRU|YUL|YYC|YXJ|
YXJ|DKR,|DKR|IAD|ORD|YYC|YXJ|
YXJ|DLA,|DLA|BRU|YUL|YYC|YXJ|
YXJ|KGL,|KGL|IST|FRA|YYC|YXJ|
YXJ|LAD,|LAD|BRU|YUL|YYC|YXJ|
YXJ|ABJ,|ABJ|BRU|YUL|YYC|YXJ|
YXJ|AMS,|AMS|ORD|YYC|YXJ|
YXJ|OSL,|OSL|EWR|YYC|YXJ|
YXJ|VNO,|VNO|FRA|YYC|YXJ|
YXJ|WAW,|WAW|YYZ|YYC|YXJ|
YXJ|YYC,|YYC|YXJ|
YXJ|ATL,|ATL|ORD|YYC|YXJ|
YXJ|MSY,|MSY|DEN|YYC|YXJ|
YXJ|YEG,|YEG|YYC|YXJ|
YXJ|YMM,|YMM|YYC|YXJ|
YXJ|YQR,|YQR|YYC|YXJ|
YXJ|YVR,|YVR|YXJ|
YXJ|YWG,|YWG|YYC|YXJ|
YXJ|YXE,|YXE|YYC|YXJ|
YXJ|CKY,|CKY|DKR|IAD|ORD|YYC|YXJ|
YXJ|FIH,|FIH|IST|FRA|YYC|YXJ|
YXJ|SCL,|SCL|YYZ|YYC|YXJ|
YXJ|LCA,|LCA|FRA|YYC|YXJ|
YXJ|NAP,|NAP|FRA|YYC|YXJ|
YXJ|VLC,|VLC|FRA|YYC|YXJ|
YXJ|BKK,|BKK|CGO|PEK|YVR|YXJ|
YXJ|ADD,|ADD|JED|FRA|YYC|YXJ|
YXJ|FRA,|FRA|YYC|YXJ|
YXJ|IST,|IST|FRA|YYC|YXJ|
YXJ|EBB,|EBB|KGL|IST|FRA|YYC|YXJ|
YXJ|YLW,|YLW|YVR|YXJ|
YXJ|YYT,|YYT|YUL|YYC|YXJ|
YXJ|GUA,|GUA|IAH|YYC|YXJ|
YXJ|EWR,|EWR|YYC|YXJ|
YXJ|IAD,|IAD|ORD|YYC|YXJ|
YXJ|IAH,|IAH|YYC|YXJ|
YXJ|ORD,|ORD|YYC|YXJ|
YXJ|SOF,|SOF|MUC|YVR|YXJ|
YXJ|YQB,|YQB|YUL|YYC|YXJ|
YXJ|YXU,|YXU|YYC|YXJ|
YXJ|EZE,|EZE|IAH|YYC|YXJ|
YXJ|YYJ,|YYJ|YVR|YXJ|
YXJ|YYY,|YYY|YUL|YYC|YXJ|
YXJ|YQQ,|YQQ|YBL|YVR|YXJ|
YXJ|YYR,|YYR|YWK|YZV|YUL|YYC|YXJ|
YXJ|LHR,|LHR|YYC|YXJ|
YXJ|SFO,|SFO|YVR|YXJ|
YXJ|YQU,|YQU|YYC|YXJ|
YXJ|YZF,|YZF|YYC|YXJ|
YXJ|YGR,|YGR|YGP|YQB|YUL|YYC|YXJ|
YXJ|YGP,|YGP|YQB|YUL|YYC|YXJ|
YXJ|BOS,|BOS|YOW|YYC|YXJ|
YXJ|YDF,|YDF|YHZ|YYC|YXJ|
YXJ|YFC,|YFC|YUL|YYC|YXJ|
