YXU|BRU,|BRU|YUL|YYZ|YXU|
YXU|OUA,|OUA|BRU|YUL|YYZ|YXU|
YXU|JED,|JED|FRA|YYZ|YXU|
YXU|CPH,|CPH|YYZ|YXU|
YXU|YYZ,|YYZ|YXU|
YXU|DEN,|DEN|ORD|YXU|
YXU|YUL,|YUL|YYZ|YXU|
YXU|NBO,|NBO|ZRH|YYZ|YXU|
YXU|ICN,|ICN|YVR|YYC|YXU|
YXU|NRT,|NRT|YYZ|YXU|
YXU|YHZ,|YHZ|YYZ|YXU|
YXU|YOW,|YOW|YXU|
YXU|BJM,|BJM|BRU|YUL|YYZ|YXU|
YXU|COO,|COO|BRU|YUL|YYZ|YXU|
YXU|DKR,|DKR|IAD|YYZ|YXU|
YXU|DLA,|DLA|BRU|YUL|YYZ|YXU|
YXU|KGL,|KGL|BRU|YUL|YYZ|YXU|
YXU|LAD,|LAD|BRU|YUL|YYZ|YXU|
YXU|ABJ,|ABJ|BRU|YUL|YYZ|YXU|
YXU|AMS,|AMS|EWR|YYZ|YXU|
YXU|OSL,|OSL|EWR|YYZ|YXU|
YXU|VNO,|VNO|CPH|YYZ|YXU|
YXU|WAW,|WAW|YYZ|YXU|
YXU|YYC,|YYC|YXU|
YXU|ATL,|ATL|YYZ|YXU|
YXU|MSY,|MSY|ORD|YXU|
YXU|YEG,|YEG|YWG|YXU|
YXU|YMM,|YMM|YYZ|YXU|
YXU|YQR,|YQR|YWG|YXU|
YXU|YVR,|YVR|YYC|YXU|
YXU|YWG,|YWG|YXU|
YXU|YXE,|YXE|YWG|YXU|
YXU|CKY,|CKY|DKR|IAD|YYZ|YXU|
YXU|FIH,|FIH|DLA|BRU|YUL|YYZ|YXU|
YXU|SCL,|SCL|YYZ|YXU|
YXU|LCA,|LCA|FRA|YYZ|YXU|
YXU|NAP,|NAP|FRA|YYZ|YXU|
YXU|VLC,|VLC|FRA|YYZ|YXU|
YXU|BKK,|BKK|CGO|PEK|YYZ|YXU|
YXU|ADD,|ADD|JED|FRA|YYZ|YXU|
YXU|FRA,|FRA|YYZ|YXU|
YXU|IST,|IST|YYZ|YXU|
YXU|EBB,|EBB|KGL|BRU|YUL|YYZ|YXU|
YXU|YLW,|YLW|YYC|YXU|
YXU|YYT,|YYT|YYZ|YXU|
YXU|GUA,|GUA|IAD|YYZ|YXU|
YXU|EWR,|EWR|YYZ|YXU|
YXU|IAD,|IAD|YYZ|YXU|
YXU|IAH,|IAH|ORD|YXU|
YXU|ORD,|ORD|YXU|
YXU|SOF,|SOF|MUC|YYZ|YXU|
YXU|YQB,|YQB|YOW|YXU|
YXU|EZE,|EZE|SCL|YYZ|YXU|
YXU|YYJ,|YYJ|YYC|YXU|
YXU|YYY,|YYY|YUL|YYZ|YXU|
YXU|YQQ,|YQQ|YYC|YXU|
YXU|YYR,|YYR|YWK|YZV|YQB|YOW|YXU|
YXU|LHR,|LHR|YYZ|YXU|
YXU|SFO,|SFO|ORD|YXU|
YXU|YQU,|YQU|YEG|YWG|YXU|
YXU|YZF,|YZF|YEG|YWG|YXU|
YXU|YGR,|YGR|YGP|YQB|YOW|YXU|
YXU|YGP,|YGP|YQB|YOW|YXU|
YXU|BOS,|BOS|YYZ|YXU|
