YYB|BRU,|BRU|YUL|YYZ|YYB|
YYB|OUA,|OUA|BRU|YUL|YYZ|YYB|
YYB|JED,|JED|FRA|YYZ|YYB|
YYB|CPH,|CPH|YYZ|YYB|
YYB|YYZ,|YYZ|YYB|
YYB|DEN,|DEN|YYZ|YYB|
YYB|YUL,|YUL|YYZ|YYB|
YYB|NBO,|NBO|ZRH|YYZ|YYB|
YYB|ICN,|ICN|PEK|YYZ|YYB|
YYB|NRT,|NRT|YYZ|YYB|
YYB|YHZ,|YHZ|YYZ|YYB|
YYB|YOW,|YOW|YYZ|YYB|
YYB|BJM,|BJM|BRU|YUL|YYZ|YYB|
YYB|COO,|COO|BRU|YUL|YYZ|YYB|
YYB|DKR,|DKR|IAD|YYZ|YYB|
YYB|DLA,|DLA|BRU|YUL|YYZ|YYB|
YYB|KGL,|KGL|BRU|YUL|YYZ|YYB|
YYB|LAD,|LAD|BRU|YUL|YYZ|YYB|
YYB|ABJ,|ABJ|BRU|YUL|YYZ|YYB|
YYB|AMS,|AMS|EWR|YYZ|YYB|
YYB|OSL,|OSL|EWR|YYZ|YYB|
YYB|VNO,|VNO|CPH|YYZ|YYB|
YYB|WAW,|WAW|YYZ|YYB|
YYB|YYC,|YYC|YYZ|YYB|
YYB|ATL,|ATL|YYZ|YYB|
YYB|MSY,|MSY|YYZ|YYB|
YYB|YEG,|YEG|YYZ|YYB|
YYB|YMM,|YMM|YYZ|YYB|
YYB|YQR,|YQR|YYZ|YYB|
YYB|YVR,|YVR|YYZ|YYB|
YYB|YWG,|YWG|YYZ|YYB|
YYB|YXE,|YXE|YYZ|YYB|
YYB|CKY,|CKY|DKR|IAD|YYZ|YYB|
YYB|FIH,|FIH|DLA|BRU|YUL|YYZ|YYB|
YYB|SCL,|SCL|YYZ|YYB|
YYB|LCA,|LCA|FRA|YYZ|YYB|
YYB|NAP,|NAP|FRA|YYZ|YYB|
YYB|VLC,|VLC|FRA|YYZ|YYB|
YYB|BKK,|BKK|CGO|PEK|YYZ|YYB|
YYB|ADD,|ADD|JED|FRA|YYZ|YYB|
YYB|FRA,|FRA|YYZ|YYB|
YYB|IST,|IST|YYZ|YYB|
YYB|EBB,|EBB|KGL|BRU|YUL|YYZ|YYB|
YYB|YLW,|YLW|YYZ|YYB|
YYB|YYT,|YYT|YYZ|YYB|
YYB|GUA,|GUA|IAD|YYZ|YYB|
YYB|EWR,|EWR|YYZ|YYB|
YYB|IAD,|IAD|YYZ|YYB|
YYB|IAH,|IAH|YYZ|YYB|
YYB|ORD,|ORD|YYZ|YYB|
YYB|SOF,|SOF|MUC|YYZ|YYB|
YYB|YQB,|YQB|YYZ|YYB|
YYB|YXU,|YXU|YYZ|YYB|
YYB|EZE,|EZE|SCL|YYZ|YYB|
YYB|YYJ,|YYJ|YYZ|YYB|
YYB|YYY,|YYY|YUL|YYZ|YYB|
YYB|YQQ,|YQQ|YYC|YYZ|YYB|
YYB|YYR,|YYR|YWK|YZV|YQB|YYZ|YYB|
YYB|LHR,|LHR|YYZ|YYB|
YYB|SFO,|SFO|YYZ|YYB|
YYB|YQU,|YQU|YEG|YYZ|YYB|
YYB|YZF,|YZF|YEG|YYZ|YYB|
YYB|YGR,|YGR|YGP|YQB|YYZ|YYB|
YYB|YGP,|YGP|YQB|YYZ|YYB|
YYB|BOS,|BOS|YYZ|YYB|
YYB|YDF,|YDF|YYZ|YYB|
YYB|YFC,|YFC|YYZ|YYB|
YYB|YQM,|YQM|YYZ|YYB|
YYB|YQX,|YQX|YHZ|YYZ|YYB|
YYB|YQY,|YQY|YYZ|YYB|
YYB|YSJ,|YSJ|YYZ|YYB|
YYB|YYG,|YYG|YYZ|YYB|
YYB|LAX,|LAX|YYZ|YYB|
YYB|DCA,|DCA|YYZ|YYB|
YYB|LGA,|LGA|YYZ|YYB|
YYB|YZV,|YZV|YQB|YYZ|YYB|
YYB|YWL,|YWL|YVR|YYZ|YYB|
YYB|AZS,|AZS|YYZ|YYB|
YYB|BDL,|BDL|YYZ|YYB|
YYB|CCC,|CCC|YYZ|YYB|
YYB|CDG,|CDG|YYZ|YYB|
YYB|CUN,|CUN|YYZ|YYB|
YYB|CZM,|CZM|IAH|YYZ|YYB|
YYB|FDF,|FDF|YUL|YYZ|YYB|
YYB|FLL,|FLL|YYZ|YYB|
YYB|GVA,|GVA|YUL|YYZ|YYB|
YYB|HOG,|HOG|YYZ|YYB|
YYB|LAS,|LAS|YYZ|YYB|
YYB|MBJ,|MBJ|YYZ|YYB|
YYB|MCO,|MCO|YYZ|YYB|
YYB|MUC,|MUC|YYZ|YYB|
YYB|PAP,|PAP|YUL|YYZ|YYB|
YYB|PTP,|PTP|YUL|YYZ|YYB|
YYB|PUJ,|PUJ|YYZ|YYB|
YYB|SNU,|SNU|YYZ|YYB|
YYB|VRA,|VRA|YYZ|YYB|
YYB|YBC,|YBC|YUL|YYZ|YYB|
YYB|YBG,|YBG|YUL|YYZ|YYB|
YYB|YTZ,|YTZ|YUL|YYZ|YYB|
YYB|YUY,|YUY|YUL|YYZ|YYB|
YYB|YVO,|YVO|YUL|YYZ|YYB|
YYB|ZBF,|ZBF|YUL|YYZ|YYB|
YYB|ZRH,|ZRH|YYZ|YYB|
YYB|ZSA,|ZSA|YUL|YYZ|YYB|
YYB|AKL,|AKL|LAX|YYZ|YYB|
YYB|HKG,|HKG|YYZ|YYB|
YYB|HND,|HND|YVR|YYZ|YYB|
YYB|HNL,|HNL|SFO|YYZ|YYB|
YYB|MEX,|MEX|YYZ|YYB|
YYB|OGG,|OGG|SFO|YYZ|YYB|
YYB|PDX,|PDX|ORD|YYZ|YYB|
YYB|PEK,|PEK|YYZ|YYB|
YYB|PVG,|PVG|YYZ|YYB|
YYB|PVR,|PVR|IAH|YYZ|YYB|
YYB|SEA,|SEA|YYZ|YYB|
YYB|SYD,|SYD|LAX|YYZ|YYB|
YYB|YBL,|YBL|YVR|YYZ|YYB|
YYB|YCD,|YCD|YVR|YYZ|YYB|
YYB|YCG,|YCG|YYC|YYZ|YYB|
YYB|YKA,|YKA|YYC|YYZ|YYB|
YYB|YPR,|YPR|YVR|YYZ|YYB|
YYB|YQZ,|YQZ|YVR|YYZ|YYB|
YYB|YXC,|YXC|YYC|YYZ|YYB|
YYB|YXJ,|YXJ|YYC|YYZ|YYB|
YYB|YXS,|YXS|YYC|YYZ|YYB|
YYB|YXT,|YXT|YVR|YYZ|YYB|
YYB|YXY,|YXY|YVR|YYZ|YYB|
YYB|YYD,|YYD|YVR|YYZ|YYB|
YYB|YYF,|YYF|YVR|YYZ|YYB|
YYB|YZP,|YZP|YVR|YYZ|YYB|
YYB|YQT,|YQT|YYZ|YYB|
YYB|SJD,|SJD|ORD|YYZ|YYB|
YYB|YQF,|YQF|YYC|YYZ|YYB|
YYB|YQL,|YQL|YYC|YYZ|YYB|
YYB|YXH,|YXH|YYC|YYZ|YYB|
YYB|YWK,|YWK|YZV|YQB|YYZ|YYB|
YYB|ANU,|ANU|YYZ|YYB|
YYB|AUA,|AUA|YYZ|YYB|
YYB|AUH,|AUH|YYZ|YYB|
YYB|BCN,|BCN|YYZ|YYB|
YYB|BDA,|BDA|YYZ|YYB|
YYB|BGI,|BGI|YYZ|YYB|
YYB|BNA,|BNA|YYZ|YYB|
YYB|BOG,|BOG|YYZ|YYB|
YYB|BWI,|BWI|YYZ|YYB|
YYB|CLE,|CLE|YYZ|YYB|
YYB|CLT,|CLT|YYZ|YYB|
YYB|CMH,|CMH|YYZ|YYB|
YYB|CVG,|CVG|YYZ|YYB|
YYB|DFW,|DFW|YYZ|YYB|
YYB|DTW,|DTW|YYZ|YYB|
YYB|DUB,|DUB|YYZ|YYB|
YYB|FCO,|FCO|YYZ|YYB|
YYB|GCM,|GCM|YYZ|YYB|
YYB|GGT,|GGT|YYZ|YYB|
YYB|GND,|GND|YYZ|YYB|
YYB|GRU,|GRU|YYZ|YYB|
YYB|HAV,|HAV|YYZ|YYB|
YYB|IND,|IND|YYZ|YYB|
YYB|JFK,|JFK|YYZ|YYB|
YYB|KIN,|KIN|YYZ|YYB|
YYB|LIM,|LIM|YYZ|YYB|
YYB|LIR,|LIR|YYZ|YYB|
YYB|MCI,|MCI|YYZ|YYB|
YYB|MDT,|MDT|YYZ|YYB|
YYB|MIA,|MIA|YYZ|YYB|
YYB|MKE,|MKE|YYZ|YYB|
YYB|MSP,|MSP|YYZ|YYB|
YYB|NAS,|NAS|YYZ|YYB|
YYB|PHL,|PHL|YYZ|YYB|
YYB|PHX,|PHX|YYZ|YYB|
YYB|PIT,|PIT|YYZ|YYB|
YYB|PLS,|PLS|YYZ|YYB|
YYB|POP,|POP|YYZ|YYB|
YYB|RDU,|RDU|YYZ|YYB|
YYB|ROC,|ROC|YYZ|YYB|
YYB|RSW,|RSW|YYZ|YYB|
YYB|SAN,|SAN|YYZ|YYB|
YYB|SJO,|SJO|YYZ|YYB|
YYB|STL,|STL|YYZ|YYB|
YYB|SYR,|SYR|YYZ|YYB|
YYB|TLV,|TLV|YYZ|YYB|
YYB|TPA,|TPA|YYZ|YYB|
YYB|UVF,|UVF|YYZ|YYB|
YYB|VIE,|VIE|YYZ|YYB|
YYB|YAM,|YAM|YYZ|YYB|
YYB|YGK,|YGK|YYZ|YYB|
YYB|YQG,|YQG|YYZ|YYB|
YYB|YSB,|YSB|YYZ|YYB|
YYB|YTS,|YTS|YYZ|YYB|
YYB|YZR,|YZR|YYZ|YYB|
YYB|CAN,|CAN|PEK|YYZ|YYB|
YYB|URC,|URC|TSE|FRA|YYZ|YYB|
YYB|CTU,|CTU|PEK|YYZ|YYB|
YYB|HGH,|HGH|PEK|YYZ|YYB|
YYB|XMN,|XMN|PEK|YYZ|YYB|
