YYC|BRU,|BRU|YUL|YYC|
YYC|OUA,|OUA|BRU|YUL|YYC|
YYC|JED,|JED|FRA|YYC|
YYC|CPH,|CPH|YYZ|YYC|
YYC|YYZ,|YYZ|YYC|
YYC|DEN,|DEN|YYC|
YYC|YUL,|YUL|YYC|
YYC|NBO,|NBO|IST|FRA|YYC|
YYC|ICN,|ICN|YVR|YYC|
YYC|NRT,|NRT|YYC|
YYC|YHZ,|YHZ|YYC|
YYC|YOW,|YOW|YYC|
YYC|BJM,|BJM|BRU|YUL|YYC|
YYC|COO,|COO|BRU|YUL|YYC|
YYC|DKR,|DKR|IAD|ORD|YYC|
YYC|DLA,|DLA|BRU|YUL|YYC|
YYC|KGL,|KGL|IST|FRA|YYC|
YYC|LAD,|LAD|BRU|YUL|YYC|
YYC|ABJ,|ABJ|BRU|YUL|YYC|
YYC|AMS,|AMS|ORD|YYC|
YYC|OSL,|OSL|EWR|YYC|
YYC|VNO,|VNO|FRA|YYC|
YYC|WAW,|WAW|YYZ|YYC|
YYC|ATL,|ATL|ORD|YYC|
YYC|MSY,|MSY|DEN|YYC|
YYC|YEG,|YEG|YYC|
YYC|YMM,|YMM|YYC|
YYC|YQR,|YQR|YYC|
YYC|YVR,|YVR|YYC|
YYC|YWG,|YWG|YYC|
YYC|YXE,|YXE|YYC|
YYC|CKY,|CKY|DKR|IAD|ORD|YYC|
YYC|FIH,|FIH|IST|FRA|YYC|
YYC|SCL,|SCL|YYZ|YYC|
YYC|LCA,|LCA|FRA|YYC|
YYC|NAP,|NAP|FRA|YYC|
YYC|VLC,|VLC|FRA|YYC|
YYC|BKK,|BKK|CGO|PEK|YVR|YYC|
YYC|ADD,|ADD|JED|FRA|YYC|
YYC|FRA,|FRA|YYC|
YYC|IST,|IST|FRA|YYC|
YYC|EBB,|EBB|KGL|IST|FRA|YYC|
YYC|YLW,|YLW|YYC|
YYC|YYT,|YYT|YUL|YYC|
YYC|GUA,|GUA|IAH|YYC|
YYC|EWR,|EWR|YYC|
YYC|IAD,|IAD|ORD|YYC|
YYC|IAH,|IAH|YYC|
YYC|ORD,|ORD|YYC|
YYC|SOF,|SOF|IST|FRA|YYC|
YYC|YQB,|YQB|YUL|YYC|
YYC|YXU,|YXU|YYC|
YYC|EZE,|EZE|IAH|YYC|
YYC|YYJ,|YYJ|YYC|
YYC|YYY,|YYY|YUL|YYC|
YYC|YQQ,|YQQ|YYC|
