YYY|BRU,|BRU|YUL|YYY|
YYY|OUA,|OUA|BRU|YUL|YYY|
YYY|JED,|JED|FRA|YUL|YYY|
YYY|CPH,|CPH|YYZ|YUL|YYY|
YYY|YYZ,|YYZ|YUL|YYY|
YYY|DEN,|DEN|YUL|YYY|
YYY|YUL,|YUL|YYY|
YYY|NBO,|NBO|ZRH|YUL|YYY|
YYY|ICN,|ICN|JFK|YUL|YYY|
YYY|NRT,|NRT|YYZ|YUL|YYY|
YYY|YHZ,|YHZ|YUL|YYY|
YYY|YOW,|YOW|YUL|YYY|
YYY|BJM,|BJM|BRU|YUL|YYY|
YYY|COO,|COO|BRU|YUL|YYY|
YYY|DKR,|DKR|IAD|YUL|YYY|
YYY|DLA,|DLA|BRU|YUL|YYY|
YYY|KGL,|KGL|BRU|YUL|YYY|
YYY|LAD,|LAD|BRU|YUL|YYY|
YYY|ABJ,|ABJ|BRU|YUL|YYY|
YYY|AMS,|AMS|EWR|YUL|YYY|
YYY|OSL,|OSL|EWR|YUL|YYY|
YYY|VNO,|VNO|FRA|YUL|YYY|
YYY|WAW,|WAW|YYZ|YUL|YYY|
YYY|YYC,|YYC|YUL|YYY|
YYY|ATL,|ATL|IAD|YUL|YYY|
YYY|MSY,|MSY|YYZ|YUL|YYY|
YYY|YEG,|YEG|YUL|YYY|
YYY|YMM,|YMM|YYZ|YUL|YYY|
YYY|YQR,|YQR|YWG|YUL|YYY|
YYY|YVR,|YVR|YUL|YYY|
YYY|YWG,|YWG|YUL|YYY|
YYY|YXE,|YXE|YWG|YUL|YYY|
YYY|CKY,|CKY|DKR|IAD|YUL|YYY|
YYY|FIH,|FIH|DLA|BRU|YUL|YYY|
YYY|SCL,|SCL|YYZ|YUL|YYY|
YYY|LCA,|LCA|FRA|YUL|YYY|
YYY|NAP,|NAP|FRA|YUL|YYY|
YYY|VLC,|VLC|FRA|YUL|YYY|
YYY|BKK,|BKK|CGO|PEK|YYZ|YUL|YYY|
YYY|ADD,|ADD|JED|FRA|YUL|YYY|
YYY|FRA,|FRA|YUL|YYY|
YYY|IST,|IST|FRA|YUL|YYY|
YYY|EBB,|EBB|KGL|BRU|YUL|YYY|
YYY|YLW,|YLW|YYC|YUL|YYY|
YYY|YYT,|YYT|YUL|YYY|
YYY|GUA,|GUA|IAD|YUL|YYY|
YYY|EWR,|EWR|YUL|YYY|
