YZP|BRU,|BRU|YUL|YVR|YZP|
YZP|OUA,|OUA|BRU|YUL|YVR|YZP|
YZP|JED,|JED|FRA|YVR|YZP|
YZP|CPH,|CPH|YYZ|YVR|YZP|
YZP|YYZ,|YYZ|YVR|YZP|
YZP|DEN,|DEN|YVR|YZP|
YZP|YUL,|YUL|YVR|YZP|
YZP|NBO,|NBO|IST|MUC|YVR|YZP|
YZP|ICN,|ICN|YVR|YZP|
YZP|NRT,|NRT|YVR|YZP|
YZP|YHZ,|YHZ|YYC|YVR|YZP|
YZP|YOW,|YOW|YVR|YZP|
YZP|BJM,|BJM|BRU|YUL|YVR|YZP|
YZP|COO,|COO|BRU|YUL|YVR|YZP|
YZP|DKR,|DKR|IAD|ORD|YVR|YZP|
YZP|DLA,|DLA|IST|MUC|YVR|YZP|
YZP|KGL,|KGL|IST|MUC|YVR|YZP|
YZP|LAD,|LAD|BRU|YUL|YVR|YZP|
YZP|ABJ,|ABJ|BRU|YUL|YVR|YZP|
YZP|AMS,|AMS|ORD|YVR|YZP|
YZP|OSL,|OSL|EWR|YVR|YZP|
YZP|VNO,|VNO|FRA|YVR|YZP|
YZP|WAW,|WAW|YYZ|YVR|YZP|
YZP|YYC,|YYC|YVR|YZP|
YZP|ATL,|ATL|DEN|YVR|YZP|
YZP|MSY,|MSY|DEN|YVR|YZP|
YZP|YEG,|YEG|YVR|YZP|
YZP|YMM,|YMM|YVR|YZP|
YZP|YQR,|YQR|YVR|YZP|
YZP|YVR,|YVR|YZP|
YZP|YWG,|YWG|YVR|YZP|
YZP|YXE,|YXE|YVR|YZP|
YZP|CKY,|CKY|DKR|IAD|ORD|YVR|YZP|
YZP|FIH,|FIH|IST|MUC|YVR|YZP|
YZP|SCL,|SCL|YYZ|YVR|YZP|
YZP|LCA,|LCA|FRA|YVR|YZP|
YZP|NAP,|NAP|FRA|YVR|YZP|
YZP|VLC,|VLC|FRA|YVR|YZP|
YZP|BKK,|BKK|CGO|PEK|YVR|YZP|
YZP|ADD,|ADD|IST|MUC|YVR|YZP|
YZP|FRA,|FRA|YVR|YZP|
