ZUH|BRU,|BRU|IST|URC|KWE|ZUH|
ZUH|OUA,|OUA|NIM|IST|URC|KWE|ZUH|
ZUH|JED,|JED|IST|URC|KWE|ZUH|
ZUH|CPH,|CPH|AMS|CTU|KWE|ZUH|
ZUH|YYZ,|YYZ|PEK|ZUH|
ZUH|DEN,|DEN|YVR|PVG|ZUH|
ZUH|YUL,|YUL|YYZ|PEK|ZUH|
ZUH|NBO,|NBO|BKK|NNG|HAK|ZUH|
ZUH|ICN,|ICN|PVG|ZUH|
ZUH|NRT,|NRT|ICN|PVG|ZUH|
ZUH|YHZ,|YHZ|YYZ|PEK|ZUH|
ZUH|YOW,|YOW|YYZ|PEK|ZUH|
ZUH|BJM,|BJM|BRU|IST|URC|KWE|ZUH|
ZUH|COO,|COO|BRU|IST|URC|KWE|ZUH|
ZUH|DKR,|DKR|BRU|IST|URC|KWE|ZUH|
ZUH|DLA,|DLA|IST|URC|KWE|ZUH|
ZUH|KGL,|KGL|IST|URC|KWE|ZUH|
ZUH|LAD,|LAD|BRU|IST|URC|KWE|ZUH|
ZUH|ABJ,|ABJ|OUA|NIM|IST|URC|KWE|ZUH|
ZUH|AMS,|AMS|CTU|KWE|ZUH|
ZUH|OSL,|OSL|CPH|AMS|CTU|KWE|ZUH|
ZUH|VNO,|VNO|IST|URC|KWE|ZUH|
ZUH|WAW,|WAW|IST|URC|KWE|ZUH|
ZUH|YYC,|YYC|YVR|PVG|ZUH|
ZUH|ATL,|ATL|ORD|PEK|ZUH|
ZUH|MSY,|MSY|DEN|YVR|PVG|ZUH|
ZUH|YEG,|YEG|YVR|PVG|ZUH|
ZUH|YMM,|YMM|YVR|PVG|ZUH|
ZUH|YQR,|YQR|YVR|PVG|ZUH|
ZUH|YVR,|YVR|PVG|ZUH|
ZUH|YWG,|YWG|YVR|PVG|ZUH|
ZUH|YXE,|YXE|YVR|PVG|ZUH|
ZUH|CKY,|CKY|DKR|BRU|IST|URC|KWE|ZUH|
ZUH|FIH,|FIH|IST|URC|KWE|ZUH|
ZUH|SCL,|SCL|YYZ|PEK|ZUH|
ZUH|LCA,|LCA|FRA|TSE|URC|KWE|ZUH|
ZUH|NAP,|NAP|IST|URC|KWE|ZUH|
ZUH|VLC,|VLC|FRA|TSE|URC|KWE|ZUH|
ZUH|BKK,|BKK|NNG|HAK|ZUH|
ZUH|ADD,|ADD|IST|URC|KWE|ZUH|
ZUH|FRA,|FRA|TSE|URC|KWE|ZUH|
ZUH|IST,|IST|URC|KWE|ZUH|
ZUH|EBB,|EBB|KGL|IST|URC|KWE|ZUH|
ZUH|YLW,|YLW|YVR|PVG|ZUH|
ZUH|YYT,|YYT|LHR|CAN|MXZ|ZUH|
ZUH|GUA,|GUA|IAH|YVR|PVG|ZUH|
ZUH|EWR,|EWR|PEK|ZUH|
ZUH|IAD,|IAD|PEK|ZUH|
ZUH|IAH,|IAH|YVR|PVG|ZUH|
ZUH|ORD,|ORD|PEK|ZUH|
ZUH|SOF,|SOF|IST|URC|KWE|ZUH|
ZUH|YQB,|YQB|YYZ|PEK|ZUH|
ZUH|YXU,|YXU|YYZ|PEK|ZUH|
ZUH|EZE,|EZE|GRU|IST|URC|KWE|ZUH|
ZUH|YYJ,|YYJ|YVR|PVG|ZUH|
ZUH|YYY,|YYY|YUL|YYZ|PEK|ZUH|
ZUH|YQQ,|YQQ|YBL|YVR|PVG|ZUH|
ZUH|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|ZUH|
ZUH|LHR,|LHR|CAN|MXZ|ZUH|
ZUH|SFO,|SFO|PVG|ZUH|
ZUH|YQU,|YQU|YEG|YVR|PVG|ZUH|
ZUH|YZF,|YZF|YEG|YVR|PVG|ZUH|
ZUH|YGR,|YGR|YGP|YQB|YYZ|PEK|ZUH|
ZUH|YGP,|YGP|YQB|YYZ|PEK|ZUH|
ZUH|BOS,|BOS|YYZ|PEK|ZUH|
ZUH|YDF,|YDF|YYT|LHR|CAN|MXZ|ZUH|
ZUH|YFC,|YFC|YYZ|PEK|ZUH|
ZUH|YQM,|YQM|YYZ|PEK|ZUH|
ZUH|YQX,|YQX|YYT|LHR|CAN|MXZ|ZUH|
ZUH|YQY,|YQY|YYZ|PEK|ZUH|
ZUH|YSJ,|YSJ|YYZ|PEK|ZUH|
ZUH|YYG,|YYG|YYZ|PEK|ZUH|
