PRN|BRU,|BRU|IST|PRN|
PRN|OUA,|OUA|NIM|IST|PRN|
PRN|JED,|JED|IST|PRN|
PRN|CPH,|CPH|IST|PRN|
PRN|YYZ,|YYZ|IST|PRN|
PRN|DEN,|DEN|FRA|IST|PRN|
PRN|YUL,|YUL|FRA|IST|PRN|
PRN|NBO,|NBO|IST|PRN|
PRN|ICN,|ICN|IST|PRN|
PRN|NRT,|NRT|IST|PRN|
PRN|YHZ,|YHZ|LHR|IST|PRN|
PRN|YOW,|YOW|FRA|IST|PRN|
PRN|BJM,|BJM|BRU|IST|PRN|
PRN|COO,|COO|BRU|IST|PRN|
PRN|DKR,|DKR|BRU|IST|PRN|
PRN|DLA,|DLA|IST|PRN|
PRN|KGL,|KGL|IST|PRN|
PRN|LAD,|LAD|BRU|IST|PRN|
PRN|ABJ,|ABJ|OUA|NIM|IST|PRN|
PRN|AMS,|AMS|IST|PRN|
PRN|OSL,|OSL|IST|PRN|
PRN|VNO,|VNO|IST|PRN|
PRN|WAW,|WAW|IST|PRN|
PRN|YYC,|YYC|FRA|IST|PRN|
PRN|ATL,|ATL|FRA|IST|PRN|
PRN|MSY,|MSY|IAD|IST|PRN|
PRN|YEG,|YEG|LHR|IST|PRN|
PRN|YMM,|YMM|YEG|LHR|IST|PRN|
PRN|YQR,|YQR|YEG|LHR|IST|PRN|
PRN|YVR,|YVR|MUC|IST|PRN|
PRN|YWG,|YWG|YUL|FRA|IST|PRN|
PRN|YXE,|YXE|YEG|LHR|IST|PRN|
PRN|CKY,|CKY|DKR|BRU|IST|PRN|
PRN|FIH,|FIH|IST|PRN|
PRN|SCL,|SCL|EZE|GRU|IST|PRN|
PRN|LCA,|LCA|FRA|IST|PRN|
PRN|NAP,|NAP|IST|PRN|
PRN|VLC,|VLC|IST|PRN|
PRN|BKK,|BKK|IST|PRN|
PRN|ADD,|ADD|IST|PRN|
PRN|FRA,|FRA|IST|PRN|
PRN|IST,|IST|PRN|
PRN|EBB,|EBB|KGL|IST|PRN|
PRN|YLW,|YLW|YYC|FRA|IST|PRN|
PRN|YYT,|YYT|LHR|IST|PRN|
PRN|GUA,|GUA|MIA|ZRH|IST|PRN|
PRN|EWR,|EWR|BHX|IST|PRN|
PRN|IAD,|IAD|IST|PRN|
PRN|IAH,|IAH|IST|PRN|
PRN|ORD,|ORD|IST|PRN|
PRN|SOF,|SOF|IST|PRN|
PRN|YQB,|YQB|YUL|FRA|IST|PRN|
PRN|YXU,|YXU|YYZ|IST|PRN|
PRN|EZE,|EZE|GRU|IST|PRN|
PRN|YYJ,|YYJ|YVR|MUC|IST|PRN|
PRN|YYY,|YYY|YUL|FRA|IST|PRN|
PRN|YQQ,|YQQ|YBL|YVR|MUC|IST|PRN|
PRN|YYR,|YYR|YYT|LHR|IST|PRN|
PRN|LHR,|LHR|IST|PRN|
PRN|SFO,|SFO|MUC|IST|PRN|
PRN|YQU,|YQU|YEG|LHR|IST|PRN|
PRN|YZF,|YZF|YEG|LHR|IST|PRN|
PRN|YGR,|YGR|YGP|YQB|YUL|FRA|IST|PRN|
PRN|YGP,|YGP|YQB|YUL|FRA|IST|PRN|
PRN|BOS,|BOS|FRA|IST|PRN|
PRN|YDF,|YDF|YYT|LHR|IST|PRN|
PRN|YFC,|YFC|YHZ|LHR|IST|PRN|
PRN|YQM,|YQM|YHZ|LHR|IST|PRN|
PRN|YQX,|YQX|YYT|LHR|IST|PRN|
PRN|YQY,|YQY|YHZ|LHR|IST|PRN|
PRN|YSJ,|YSJ|YHZ|LHR|IST|PRN|
PRN|YYG,|YYG|YHZ|LHR|IST|PRN|
PRN|LAX,|LAX|IST|PRN|
PRN|DCA,|DCA|EWR|BHX|IST|PRN|
PRN|LGA,|LGA|YHZ|LHR|IST|PRN|
PRN|YZV,|YZV|YWK|YYR|YYT|LHR|IST|PRN|
PRN|YWL,|YWL|YVR|MUC|IST|PRN|
PRN|AZS,|AZS|YUL|FRA|IST|PRN|
PRN|BDL,|BDL|YUL|FRA|IST|PRN|
PRN|CCC,|CCC|YUL|FRA|IST|PRN|
PRN|CDG,|CDG|IST|PRN|
PRN|CUN,|CUN|YHZ|LHR|IST|PRN|
PRN|CZM,|CZM|YUL|FRA|IST|PRN|
PRN|FDF,|FDF|YUL|FRA|IST|PRN|
PRN|FLL,|FLL|MCO|FRA|IST|PRN|
PRN|GVA,|GVA|IST|PRN|
PRN|HOG,|HOG|YUL|FRA|IST|PRN|
PRN|LAS,|LAS|DEN|FRA|IST|PRN|
PRN|MBJ,|MBJ|YHZ|LHR|IST|PRN|
PRN|MCO,|MCO|FRA|IST|PRN|
PRN|MUC,|MUC|IST|PRN|
PRN|PAP,|PAP|YUL|FRA|IST|PRN|
PRN|PTP,|PTP|YUL|FRA|IST|PRN|
PRN|PUJ,|PUJ|YHZ|LHR|IST|PRN|
PRN|SNU,|SNU|YUL|FRA|IST|PRN|
PRN|VRA,|VRA|YUL|FRA|IST|PRN|
PRN|YBC,|YBC|YUL|FRA|IST|PRN|
PRN|YBG,|YBG|YUL|FRA|IST|PRN|
PRN|YTZ,|YTZ|YUL|FRA|IST|PRN|
PRN|YUY,|YUY|YUL|FRA|IST|PRN|
PRN|YVO,|YVO|YUL|FRA|IST|PRN|
PRN|ZBF,|ZBF|YUL|FRA|IST|PRN|
PRN|ZRH,|ZRH|IST|PRN|
PRN|ZSA,|ZSA|YUL|FRA|IST|PRN|
PRN|AKL,|AKL|BKK|IST|PRN|
PRN|HKG,|HKG|IST|PRN|
PRN|HND,|HND|YVR|MUC|IST|PRN|
PRN|HNL,|HNL|YVR|MUC|IST|PRN|
PRN|MEX,|MEX|IAD|IST|PRN|
PRN|OGG,|OGG|YVR|MUC|IST|PRN|
PRN|PDX,|PDX|SEA|FRA|IST|PRN|
PRN|PEK,|PEK|IST|PRN|
PRN|PVG,|PVG|IST|PRN|
PRN|PVR,|PVR|ORD|IST|PRN|
PRN|SEA,|SEA|FRA|IST|PRN|
PRN|SYD,|SYD|BKK|IST|PRN|
PRN|YBL,|YBL|YVR|MUC|IST|PRN|
PRN|YCD,|YCD|YVR|MUC|IST|PRN|
PRN|YCG,|YCG|YYC|FRA|IST|PRN|
PRN|YKA,|YKA|YYC|FRA|IST|PRN|
PRN|YPR,|YPR|YVR|MUC|IST|PRN|
PRN|YQZ,|YQZ|YVR|MUC|IST|PRN|
PRN|YXC,|YXC|YYC|FRA|IST|PRN|
PRN|YXJ,|YXJ|YYC|FRA|IST|PRN|
PRN|YXS,|YXS|YYC|FRA|IST|PRN|
PRN|YXT,|YXT|YVR|MUC|IST|PRN|
PRN|YXY,|YXY|YVR|MUC|IST|PRN|
PRN|YYD,|YYD|YVR|MUC|IST|PRN|
PRN|YYF,|YYF|YVR|MUC|IST|PRN|
PRN|YZP,|YZP|YVR|MUC|IST|PRN|
PRN|YQT,|YQT|YYZ|IST|PRN|
PRN|SJD,|SJD|ORD|IST|PRN|
PRN|YQF,|YQF|YYC|FRA|IST|PRN|
PRN|YQL,|YQL|YYC|FRA|IST|PRN|
PRN|YXH,|YXH|YYC|FRA|IST|PRN|
PRN|YWK,|YWK|YYR|YYT|LHR|IST|PRN|
PRN|ANU,|ANU|EWR|BHX|IST|PRN|
PRN|AUA,|AUA|EWR|BHX|IST|PRN|
PRN|AUH,|AUH|IST|PRN|
PRN|BCN,|BCN|IST|PRN|
PRN|BDA,|BDA|EWR|BHX|IST|PRN|
PRN|BGI,|BGI|YYZ|IST|PRN|
PRN|BNA,|BNA|YYZ|IST|PRN|
PRN|BOG,|BOG|MIA|ZRH|IST|PRN|
PRN|BWI,|BWI|EWR|BHX|IST|PRN|
PRN|CLE,|CLE|YYZ|IST|PRN|
PRN|CLT,|CLT|EWR|BHX|IST|PRN|
PRN|CMH,|CMH|YYZ|IST|PRN|
PRN|CVG,|CVG|YYZ|IST|PRN|
PRN|DFW,|DFW|ORD|IST|PRN|
PRN|DTW,|DTW|FRA|IST|PRN|
PRN|DUB,|DUB|IST|PRN|
PRN|FCO,|FCO|IST|PRN|
PRN|GCM,|GCM|EWR|BHX|IST|PRN|
PRN|GGT,|GGT|FLL|MCO|FRA|IST|PRN|
PRN|GND,|GND|YYZ|IST|PRN|
PRN|GRU,|GRU|IST|PRN|
PRN|HAV,|HAV|YYZ|IST|PRN|
PRN|IND,|IND|YYZ|IST|PRN|
PRN|JFK,|JFK|IST|PRN|
PRN|KIN,|KIN|YYZ|IST|PRN|
PRN|LIM,|LIM|MIA|ZRH|IST|PRN|
PRN|LIR,|LIR|EWR|BHX|IST|PRN|
PRN|MCI,|MCI|ORD|IST|PRN|
PRN|MDT,|MDT|IAD|IST|PRN|
PRN|MIA,|MIA|ZRH|IST|PRN|
PRN|MKE,|MKE|YYZ|IST|PRN|
PRN|MSP,|MSP|YUL|FRA|IST|PRN|
PRN|NAS,|NAS|EWR|BHX|IST|PRN|
PRN|PHL,|PHL|IAD|IST|PRN|
PRN|PHX,|PHX|DEN|FRA|IST|PRN|
PRN|PIT,|PIT|YYZ|IST|PRN|
PRN|PLS,|PLS|EWR|BHX|IST|PRN|
PRN|POP,|POP|EWR|BHX|IST|PRN|
PRN|RDU,|RDU|EWR|BHX|IST|PRN|
PRN|ROC,|ROC|YYZ|IST|PRN|
PRN|RSW,|RSW|MCO|FRA|IST|PRN|
PRN|SAN,|SAN|LAX|IST|PRN|
PRN|SJO,|SJO|EWR|BHX|IST|PRN|
PRN|STL,|STL|ORD|IST|PRN|
PRN|SYR,|SYR|EWR|BHX|IST|PRN|
PRN|TLV,|TLV|IST|PRN|
PRN|TPA,|TPA|EWR|BHX|IST|PRN|
PRN|UVF,|UVF|EWR|BHX|IST|PRN|
PRN|VIE,|VIE|IST|PRN|
PRN|YAM,|YAM|YYZ|IST|PRN|
PRN|YGK,|YGK|YYZ|IST|PRN|
PRN|YQG,|YQG|YYZ|IST|PRN|
PRN|YSB,|YSB|YYZ|IST|PRN|
PRN|YTS,|YTS|YYZ|IST|PRN|
PRN|YYB,|YYB|YYZ|IST|PRN|
PRN|YZR,|YZR|YYZ|IST|PRN|
PRN|CAN,|CAN|IST|PRN|
PRN|URC,|URC|IST|PRN|
PRN|CTU,|CTU|URC|IST|PRN|
PRN|HGH,|HGH|URC|IST|PRN|
PRN|XMN,|XMN|CSX|URC|IST|PRN|
PRN|CGO,|CGO|URC|IST|PRN|
PRN|CSX,|CSX|URC|IST|PRN|
PRN|SHE,|SHE|PEK|IST|PRN|
PRN|SJW,|SJW|URC|IST|PRN|
PRN|WUH,|WUH|URC|IST|PRN|
PRN|SZX,|SZX|CKG|URC|IST|PRN|
PRN|CKG,|CKG|URC|IST|PRN|
PRN|KMG,|KMG|CTU|URC|IST|PRN|
PRN|FOC,|FOC|XIY|URC|IST|PRN|
PRN|NNG,|NNG|KWE|URC|IST|PRN|
PRN|SWA,|SWA|CAN|IST|PRN|
PRN|ACX,|ACX|CAN|IST|PRN|
PRN|AQG,|AQG|CAN|IST|PRN|
PRN|AVA,|AVA|CAN|IST|PRN|
PRN|BFJ,|BFJ|CAN|IST|PRN|
PRN|BHY,|BHY|CKG|URC|IST|PRN|
PRN|BNE,|BNE|BKK|IST|PRN|
PRN|CGD,|CGD|PEK|IST|PRN|
PRN|CGK,|CGK|SIN|IST|PRN|
PRN|CGQ,|CGQ|HET|URC|IST|PRN|
PRN|CIH,|CIH|PEK|IST|PRN|
PRN|CNX,|CNX|CAN|IST|PRN|
PRN|CZX,|CZX|TYN|URC|IST|PRN|
PRN|DAC,|DAC|IST|PRN|
PRN|DAD,|DAD|CAN|IST|PRN|
PRN|DEL,|DEL|IST|PRN|
PRN|DIG,|DIG|KMG|CTU|URC|IST|PRN|
PRN|DLC,|DLC|PEK|IST|PRN|
PRN|DPS,|DPS|CAN|IST|PRN|
PRN|DXB,|DXB|IST|PRN|
PRN|DYG,|DYG|CSX|URC|IST|PRN|
PRN|FUG,|FUG|CAN|IST|PRN|
PRN|FUK,|FUK|ICN|IST|PRN|
PRN|HAK,|HAK|CTU|URC|IST|PRN|
PRN|HAN,|HAN|CAN|IST|PRN|
PRN|HDG,|HDG|CAN|IST|PRN|
PRN|HET,|HET|URC|IST|PRN|
PRN|HFE,|HFE|XIY|URC|IST|PRN|
PRN|HJJ,|HJJ|CSX|URC|IST|PRN|
PRN|HKT,|HKT|KWE|URC|IST|PRN|
PRN|HRB,|HRB|PEK|IST|PRN|
PRN|HZH,|HZH|CAN|IST|PRN|
PRN|JIU,|JIU|CAN|IST|PRN|
PRN|JJN,|JJN|CSX|URC|IST|PRN|
PRN|JNG,|JNG|CAN|IST|PRN|
PRN|KHN,|KHN|XIY|URC|IST|PRN|
PRN|KIX,|KIX|IST|PRN|
PRN|KOW,|KOW|CAN|IST|PRN|
PRN|KTM,|KTM|IST|PRN|
PRN|KUL,|KUL|IST|PRN|
PRN|KWE,|KWE|URC|IST|PRN|
PRN|KWL,|KWL|CKG|URC|IST|PRN|
PRN|LHW,|LHW|URC|IST|PRN|
PRN|LYA,|LYA|KHN|XIY|URC|IST|PRN|
PRN|LYG,|LYG|XUZ|INC|URC|IST|PRN|
PRN|LZH,|LZH|CAN|IST|PRN|
PRN|MEL,|MEL|BKK|IST|PRN|
PRN|MIG,|MIG|CSX|URC|IST|PRN|
PRN|MLE,|MLE|IST|PRN|
PRN|MNL,|MNL|CAN|IST|PRN|
PRN|MXZ,|MXZ|CAN|IST|PRN|
PRN|NAO,|NAO|PEK|IST|PRN|
PRN|NGB,|NGB|WUH|URC|IST|PRN|
PRN|NKG,|NKG|URC|IST|PRN|
PRN|NNY,|NNY|CGO|URC|IST|PRN|
PRN|PEN,|PEN|CAN|IST|PRN|
PRN|PER,|PER|BKK|IST|PRN|
PRN|PNH,|PNH|CAN|IST|PRN|
PRN|REP,|REP|CAN|IST|PRN|
PRN|RGN,|RGN|CAN|IST|PRN|
PRN|SGN,|SGN|BKK|IST|PRN|
PRN|SHA,|SHA|URC|IST|PRN|
PRN|SIN,|SIN|IST|PRN|
PRN|SVO,|SVO|URC|IST|PRN|
PRN|SYX,|SYX|CKG|URC|IST|PRN|
PRN|TAO,|TAO|TYN|URC|IST|PRN|
PRN|TEN,|TEN|CAN|IST|PRN|
PRN|TNA,|TNA|URC|IST|PRN|
PRN|TPE,|TPE|URC|IST|PRN|
PRN|TSN,|TSN|HET|URC|IST|PRN|
PRN|TXN,|TXN|TYN|URC|IST|PRN|
PRN|TYN,|TYN|URC|IST|PRN|
PRN|WNZ,|WNZ|XIY|URC|IST|PRN|
PRN|WUX,|WUX|CAN|IST|PRN|
PRN|XFN,|XFN|CAN|IST|PRN|
PRN|XIY,|XIY|URC|IST|PRN|
PRN|XUZ,|XUZ|INC|URC|IST|PRN|
PRN|YIH,|YIH|CKG|URC|IST|PRN|
PRN|YIW,|YIW|URC|IST|PRN|
PRN|YNT,|YNT|SHE|PEK|IST|PRN|
PRN|YNZ,|YNZ|WUH|URC|IST|PRN|
PRN|YTY,|YTY|CGO|URC|IST|PRN|
PRN|ZHA,|ZHA|CAN|IST|PRN|
PRN|ZYI,|ZYI|CAN|IST|PRN|
PRN|BAV,|BAV|URC|IST|PRN|
PRN|CJU,|CJU|DLC|PEK|IST|PRN|
PRN|DSN,|DSN|CGO|URC|IST|PRN|
PRN|HMI,|HMI|URC|IST|PRN|
PRN|INC,|INC|URC|IST|PRN|
PRN|KHH,|KHH|WUH|URC|IST|PRN|
PRN|UYN,|UYN|XIY|URC|IST|PRN|
PRN|XNN,|XNN|URC|IST|PRN|
PRN|ZUH,|ZUH|KWE|URC|IST|PRN|
PRN|YNJ,|YNJ|PEK|IST|PRN|
PRN|DAT,|DAT|TYN|URC|IST|PRN|
PRN|JHG,|JHG|KMG|CTU|URC|IST|PRN|
PRN|LJG,|LJG|KMG|CTU|URC|IST|PRN|
PRN|LXA,|LXA|CKG|URC|IST|PRN|
